"identifier","context","text"
"Address:http~//rs.tdwg.org/dwc/terms/attributes/Address:label","Label for Address (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Address) http://rs.tdwg.org/dwc/terms/Address",""
"Address:http~//rs.tdwg.org/dwc/terms/attributes/Address:definition","Definition for Address (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Address) http://rs.tdwg.org/dwc/terms/Address",""
"ChronometricAge:http~//rs.tdwg.org/dwc/terms/attributes/ChronometricAge:label","Label for Chronometric Age (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ChronometricAge) http://rs.tdwg.org/dwc/terms/ChronometricAge",""
"ChronometricAge:http~//rs.tdwg.org/dwc/terms/attributes/ChronometricAge:definition","Definition for Chronometric Age (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ChronometricAge) http://rs.tdwg.org/dwc/terms/ChronometricAge",""
"ChronometricAge:http~//rs.tdwg.org/dwc/terms/attributes/ChronometricAge:notes","Notes for Chronometric Age (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ChronometricAge) http://rs.tdwg.org/dwc/terms/ChronometricAge",""
"CollectionStatusHistory:http~//rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory:label","Label for Collection Status History (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory) http://rs.tdwg.org/dwc/terms/CollectionStatusHistory",""
"CollectionStatusHistory:http~//rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory:definition","Definition for Collection Status History (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory) http://rs.tdwg.org/dwc/terms/CollectionStatusHistory",""
"CollectionStatusHistory:http~//rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory:notes","Notes for Collection Status History (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory) http://rs.tdwg.org/dwc/terms/CollectionStatusHistory",""
"ContactDetail:http~//rs.tdwg.org/dwc/terms/attributes/ContactDetail:label","Label for Contact Detail (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ContactDetail) http://rs.tdwg.org/dwc/terms/ContactDetail",""
"ContactDetail:http~//rs.tdwg.org/dwc/terms/attributes/ContactDetail:definition","Definition for Contact Detail (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ContactDetail) http://rs.tdwg.org/dwc/terms/ContactDetail",""
