version,term_localName
http://rs.tdwg.org/mids/elements/version/physicalSpecimenID-2026-MM-DD,physicalSpecimenID
http://rs.tdwg.org/mids/elements/version/organization-2026-MM-DD,organization
http://rs.tdwg.org/mids/elements/version/name-2026-MM-DD,name
http://rs.tdwg.org/mids/elements/version/objectType-2026-MM-DD,objectType
http://rs.tdwg.org/mids/elements/version/license-2026-MM-DD,license
http://rs.tdwg.org/mids/elements/version/modified-2026-MM-DD,modified
http://rs.tdwg.org/mids/elements/version/qualitativeLocation-2026-MM-DD,qualitativeLocation
http://rs.tdwg.org/mids/elements/version/quantitativeLocation-2026-MM-DD,quantitativeLocation
http://rs.tdwg.org/mids/elements/version/collectingAgent-2026-MM-DD,collectingAgent
http://rs.tdwg.org/mids/elements/version/dateCollected-2026-MM-DD,dateCollected
http://rs.tdwg.org/mids/elements/version/collectingNumber-2026-MM-DD,collectingNumber
http://rs.tdwg.org/mids/elements/version/media-2026-MM-DD,media
http://rs.tdwg.org/mids/elements/version/organizationID-2026-MM-DD,organizationID
http://rs.tdwg.org/mids/elements/version/collectingAgentID-2026-MM-DD,collectingAgentID
http://rs.tdwg.org/mids/elements/version/identifiedAsID-2026-MM-DD,identifiedAsID
http://rs.tdwg.org/mids/elements/version/geographicalLocalityID-2026-MM-DD,geographicalLocalityID
http://rs.tdwg.org/mids/elements/version/identifiedByID-2026-MM-DD,identifiedByID
http://rs.tdwg.org/mids/elements/version/mediaID-2026-MM-DD,mediaID
http://rs.tdwg.org/mids/elements/version/mass-2026-MM-DD,mass
http://rs.tdwg.org/mids/elements/version/chronostratigraphy-2026-MM-DD,chronostratigraphy
http://rs.tdwg.org/mids/elements/version/stratigraphicContext-2026-MM-DD,stratigraphicContext
