"identifier","context","text"
"p:label","Label for pathway concept scheme http://rs.tdwg.org/dwc/terms/p",""
"p:definition","Definition for pathway concept scheme http://rs.tdwg.org/dwc/terms/p","Pojmové schéma SKOS, které se má používat jako řízený slovník pro termíny Darwin Core dwc:pathway a dwciri:pathway"
"p001:label","Label for biological control http://rs.tdwg.org/dwc/terms/p001",""
"p001:definition","Definition for biological control http://rs.tdwg.org/dwc/terms/p001","Organismy vyskytující se v oblasti, protože byly zavlečeny za účelem biologické kontroly jiného organismu."
"p001:notes","Notes for biological control http://rs.tdwg.org/dwc/terms/p001","Vypuštěny záměrně do (polo)přírodního prostředí za účelem kontroly populace jednoho nebo více organismů. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p002:label","Label for erosion control http://rs.tdwg.org/dwc/terms/p002",""
"p002:definition","Definition for erosion control http://rs.tdwg.org/dwc/terms/p002","Organismy vysazené za účelem kontroly eroze/stabilizace dun (větrolamy, živé ploty atd.)."
"p002:notes","Notes for erosion control http://rs.tdwg.org/dwc/terms/p002","Pravděpodobně platí pouze pro rostliny. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p003:label","Label for fishery in the wild http://rs.tdwg.org/dwc/terms/p003",""
"p003:definition","Definition for fishery in the wild http://rs.tdwg.org/dwc/terms/p003","Ryby vysazené do volné přírody buď za účelem vytvoření rybářského revíru, nebo pro rekreační rybolov."
"p003:notes","Notes for fishery in the wild http://rs.tdwg.org/dwc/terms/p003","Z velké části se vztahuje na sladkovodní a anadromní ryby. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p004:label","Label for hunting http://rs.tdwg.org/dwc/terms/p004","lov"
"p004:definition","Definition for hunting http://rs.tdwg.org/dwc/terms/p004","Zvířata vysazená do volné přírody s úmyslem lovit je pro sportovní účely."
"p004:notes","Notes for hunting http://rs.tdwg.org/dwc/terms/p004","Z velké části se vztahuje na suchozemské obratlovce. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p005:label","Label for landscape improvement http://rs.tdwg.org/dwc/terms/p005",""
"p005:definition","Definition for landscape improvement http://rs.tdwg.org/dwc/terms/p005","""Zlepšování"" krajiny/flóry/fauny ve volné přírodě."
"p005:notes","Notes for landscape improvement http://rs.tdwg.org/dwc/terms/p005","""Zlepšení"" v tomto kontextu je určeno pro introdukci za účelem estetického zlepšení krajiny, na rozdíl od praktické introdukce za účelem ochrany proti erozi, zemědělství, lesnictví atd. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p006:label","Label for conservation or wildlife management http://rs.tdwg.org/dwc/terms/p006",""
"p006:definition","Definition for conservation or wildlife management http://rs.tdwg.org/dwc/terms/p006","Organismy introdukované pro účely ochrany nebo managementu volně žijících živočichů."
"p006:notes","Notes for conservation or wildlife management http://rs.tdwg.org/dwc/terms/p006","Organismus byl vypuštěn se záměrem zlepšit stav ochrany druhu nebo stav ochrany jiných druhů na stanovišti. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p007:label","Label for released for use http://rs.tdwg.org/dwc/terms/p007",""
"p007:definition","Definition for released for use http://rs.tdwg.org/dwc/terms/p007","Uvolnění v přírodě pro použití (jiné než výše uvedené, např. kožešina, transport, lékařské použití)."
"p007:notes","Notes for released for use http://rs.tdwg.org/dwc/terms/p007","Tento termín označuje organismy záměrně a přímo vypuštěné do volné přírody, aby sloužily konkrétnímu účelu. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p008:label","Label for other intentional release http://rs.tdwg.org/dwc/terms/p008",""
"p008:definition","Definition for other intentional release http://rs.tdwg.org/dwc/terms/p008","Všeobecný termín pro záměrné vypouštění ne pro lidské použití, na které se nevztahují jiné specifičtější termíny."
"p008:notes","Notes for other intentional release http://rs.tdwg.org/dwc/terms/p008","Srovnejte s „jiným únikem z vězení“. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p009:label","Label for agriculture (including biofuel feedstocks) http://rs.tdwg.org/dwc/terms/p009",""
"p009:definition","Definition for agriculture (including biofuel feedstocks) http://rs.tdwg.org/dwc/terms/p009","Rostliny pěstované se záměrem sklizně."
"p009:notes","Notes for agriculture (including biofuel feedstocks) http://rs.tdwg.org/dwc/terms/p009","Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p010:label","Label for aquaculture/mariculture http://rs.tdwg.org/dwc/terms/p010",""
"p010:definition","Definition for aquaculture/mariculture http://rs.tdwg.org/dwc/terms/p010","Analog zemědělství a chovaných zvířat, konkrétně související s vodními organismy."
"p010:notes","Notes for aquaculture/mariculture http://rs.tdwg.org/dwc/terms/p010","Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p011:label","Label for botanic garden/zoo/aquaria (excluding domestic aquaria) http://rs.tdwg.org/dwc/terms/p011",""
"p011:definition","Definition for botanic garden/zoo/aquaria (excluding domestic aquaria) http://rs.tdwg.org/dwc/terms/p011","Organismy ve veřejných sbírkách rostlin a/nebo zvířat."
"p011:notes","Notes for botanic garden/zoo/aquaria (excluding domestic aquaria) http://rs.tdwg.org/dwc/terms/p011","Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p012:label","Label for pet/aquarium/terrarium species (including live food for such species) http://rs.tdwg.org/dwc/terms/p012","druhy v zájmovém chovu/akváriích/teráriích (včetně živé potravy pro tyto druhy)"
