"identifier","context","text"
"p:label","Label for pathway concept scheme http://rs.tdwg.org/dwc/terms/p","equema conceptual de ruta"
"p:definition","Definition for pathway concept scheme http://rs.tdwg.org/dwc/terms/p","Un Esquema Conceptual SKOS para ser utilizado como vocabulario controlado para los términos de Darwin Core dwc:pathway y dwciri:pathway"
"p001:label","Label for biological control http://rs.tdwg.org/dwc/terms/p001","control biológico"
"p001:definition","Definition for biological control http://rs.tdwg.org/dwc/terms/p001","Organismos presentes en un área porque fueron introducidos con el propósito de llevar a cabo control biológico de otro organismo."
"p001:notes","Notes for biological control http://rs.tdwg.org/dwc/terms/p001",""
"p002:label","Label for erosion control http://rs.tdwg.org/dwc/terms/p002","control de erosión"
"p002:definition","Definition for erosion control http://rs.tdwg.org/dwc/terms/p002","Organismos introducidos con el propósito de llevar a cabo control de erosión/estabilización de dunas (cortavientos, setos, etc.)."
"p002:notes","Notes for erosion control http://rs.tdwg.org/dwc/terms/p002",""
"p003:label","Label for fishery in the wild http://rs.tdwg.org/dwc/terms/p003","pesca silvestre"
"p003:definition","Definition for fishery in the wild http://rs.tdwg.org/dwc/terms/p003","Peces introducidos en ambientes naturales para crear una pesquería o para la pesca recreativa."
"p003:notes","Notes for fishery in the wild http://rs.tdwg.org/dwc/terms/p003",""
"p004:label","Label for hunting http://rs.tdwg.org/dwc/terms/p004","caza"
"p004:definition","Definition for hunting http://rs.tdwg.org/dwc/terms/p004","Animales introducidos en ambientes naturales específicamente para ser objeto de caza deportiva."
"p004:notes","Notes for hunting http://rs.tdwg.org/dwc/terms/p004",""
"p005:label","Label for landscape improvement http://rs.tdwg.org/dwc/terms/p005","mejoramiento de paisaje"
"p005:definition","Definition for landscape improvement http://rs.tdwg.org/dwc/terms/p005","""Mejoramiento"" de paisaje/flora/fauna en la naturaleza."
"p005:notes","Notes for landscape improvement http://rs.tdwg.org/dwc/terms/p005",""
"p006:label","Label for conservation or wildlife management http://rs.tdwg.org/dwc/terms/p006","conservación o manejo de vida silvestre"
"p006:definition","Definition for conservation or wildlife management http://rs.tdwg.org/dwc/terms/p006","Organismos introducidos con fines de conservación o manejo de vida silvestre."
"p006:notes","Notes for conservation or wildlife management http://rs.tdwg.org/dwc/terms/p006",""
"p007:label","Label for released for use http://rs.tdwg.org/dwc/terms/p007","liberado para uso"
"p007:definition","Definition for released for use http://rs.tdwg.org/dwc/terms/p007","Liberado en la naturaleza para uso (distinto del anterior, e.g., peletería, transporte, uso medicinal)."
"p007:notes","Notes for released for use http://rs.tdwg.org/dwc/terms/p007",""
"p008:label","Label for other intentional release http://rs.tdwg.org/dwc/terms/p008","otra liberación intencional"
