"identifier","context","text"
"p:label","Label for pathway concept scheme http://rs.tdwg.org/dwc/terms/p","schéma conceptuel des voies d'accès"
"p:definition","Definition for pathway concept scheme http://rs.tdwg.org/dwc/terms/p","Un schéma conceptuel SKOS qui doit être utilisé comme vocabulaire contrôlé pour les termes dwc:pathway et dwciri:pathway du Darwin Core"
"p001:label","Label for biological control http://rs.tdwg.org/dwc/terms/p001","contrôle biologique"
"p001:definition","Definition for biological control http://rs.tdwg.org/dwc/terms/p001","Organismes introduits volontairement dans une zone pour y contrôler d'autres organismes."
"p001:notes","Notes for biological control http://rs.tdwg.org/dwc/terms/p001","Relâché intentionnellement dans un environnement (semi-)naturel dans le but de contrôler la (les) population(s) d'un ou de plusieurs organismes. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p002:label","Label for erosion control http://rs.tdwg.org/dwc/terms/p002","contrôle de l’érosion"
"p002:definition","Definition for erosion control http://rs.tdwg.org/dwc/terms/p002","Organismes introduits dans le but de contrôler l'érosion, stabiliser les dunes (brise-vent, haies, etc.)."
"p002:notes","Notes for erosion control http://rs.tdwg.org/dwc/terms/p002","Ne s'applique probablement qu'aux plantes. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p003:label","Label for fishery in the wild http://rs.tdwg.org/dwc/terms/p003","pêche en milieu naturel"
"p003:definition","Definition for fishery in the wild http://rs.tdwg.org/dwc/terms/p003","Poissons capturés en milieu naturel à des fins commerciales ou pour la pêche récréative."
"p003:notes","Notes for fishery in the wild http://rs.tdwg.org/dwc/terms/p003","Principalement applicable aux poissons d'eau douce et aux poissons anadromes. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p004:label","Label for hunting http://rs.tdwg.org/dwc/terms/p004","chasse"
"p004:definition","Definition for hunting http://rs.tdwg.org/dwc/terms/p004","Animaux sauvages ou lâchés dans la nature pour la chasse."
"p004:notes","Notes for hunting http://rs.tdwg.org/dwc/terms/p004","Principalement applicable aux vertébrés terrestres. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p005:label","Label for landscape improvement http://rs.tdwg.org/dwc/terms/p005","aménagement paysager"
"p005:definition","Definition for landscape improvement http://rs.tdwg.org/dwc/terms/p005","Paysage/Faune/Flore amelioration naturelle."
"p005:notes","Notes for landscape improvement http://rs.tdwg.org/dwc/terms/p005","Dans ce contexte, le terme ""amélioration"" s'applique aux introductions à des fins de valorisation esthétique du paysage, par opposition aux introductions pratiques à des fins de contrôle de l'érosion, d'agriculture, de sylviculture ou foresterie, etc. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p006:label","Label for conservation or wildlife management http://rs.tdwg.org/dwc/terms/p006","conservation ou gestion de la vie sauvage"
"p006:definition","Definition for conservation or wildlife management http://rs.tdwg.org/dwc/terms/p006","Organismes introduits à des fins de conservation ou de gestion de la faune."
"p006:notes","Notes for conservation or wildlife management http://rs.tdwg.org/dwc/terms/p006","L'organisme a été relâché dans l'intention d'améliorer le statut de conservation de l'espèce ou le statut de conservation d'autres espèces dans l'habitat. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
"p007:label","Label for released for use http://rs.tdwg.org/dwc/terms/p007","libération pour usage"
"p007:definition","Definition for released for use http://rs.tdwg.org/dwc/terms/p007","Rejet dans la nature pour utilisation (autre que ci-dessus, par exemple fourrure, transport, usage médical)."
"p007:notes","Notes for released for use http://rs.tdwg.org/dwc/terms/p007","Ce terme fait référence aux organismes intentionnellement et directement relâchés dans la nature dans un but spécifique. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129"
