term_localName,label,skos_inScheme,controlled_value_string,definition,usage,notes,examples,type
Drawing,Drawing,,Drawing,"Visual works produced by drawing, which is the application of lines on a surface, often paper, by using a pencil, pen, chalk, or some other tracing instrument to focus on the delineation of form rather than the application of color.",,See http://vocab.getty.edu/page/aat/300033973,,http://www.w3.org/2000/01/rdf-schema#Class
Painting,Painting,,Painting,"Unique works in which images are formed primarily by the direct application of pigments suspended in oil, water, egg yolk, molten wax, or other liquid, arranged in masses of color, onto a generally two-dimensional surface.",,See http://vocab.getty.edu/page/aat/300033618,,http://www.w3.org/2000/01/rdf-schema#Class
Logo,Logo,,Logo,"Devices that are specifically symbol- or picture based, designed for ready recognition to identify a product, company, or organization and sometimes used as trademarks.",,See http://vocab.getty.edu/page/aat/300028715,,http://www.w3.org/2000/01/rdf-schema#Class
Icon,Icon,,Icon,"Small pictures, pictograms, or symbols used on computer displays or in graphical user interfaces meant to represent files, objects, applications, actions, or messages.",,See http://vocab.getty.edu/page/aat/300266210,,http://www.w3.org/2000/01/rdf-schema#Class
Illustration,Illustration,,Illustration,Pictures or diagrams that clarify or provide an example or visualization. They usually accompany a text; the term is most often used to refer to pictures in books or published journal.,,See http://vocab.getty.edu/page/aat/300015578,,http://www.w3.org/2000/01/rdf-schema#Class
Graphic,Graphic,,Graphic,Visual images or designs preserved on some medium.,,,,http://www.w3.org/2000/01/rdf-schema#Class
Photograph,Photograph,,Photograph,"Refers to still images produced from radiation-sensitive materials (sensitive to light, electron beams, or nuclear radiation), generally by means of the chemical action of light on a sensitive film, paper, glass, or metal. Photographs may be positive or negative, opaque or transparent. The concept may include photographs made by digital means.",,See http://vocab.getty.edu/page/aat/300046300,,http://www.w3.org/2000/01/rdf-schema#Class
Animation,Animation,,Animation,"Works that present the illusion of movement and that may be created by a number of techniques including successive drawings, photographing positions of puppets or models, or using computers.",,See http://vocab.getty.edu/page/aat/300411663,,http://www.w3.org/2000/01/rdf-schema#Class
Film,Film,,Film,"Works presented in the form of a series of pictures carried on photographic film or video tape, presented to the eye in such rapid succession as to give the illusion of natural movement.",,Also known as motion pictures. See http://vocab.getty.edu/page/aat/300136900,,http://www.w3.org/2000/01/rdf-schema#Class
SlideShow,Slide Show,,SlideShow,"Visual representations of information for the purpose of achieving favorable visibility and persuading an audience to believe or support the presentor's ideas, projects, or goals.",,See http://vocab.getty.edu/page/aat/300258677,,http://www.w3.org/2000/01/rdf-schema#Class
DesignPlan,Design Plan,,DesignPlan,"Refers to drawings, sketches, prints, computer graphics, or works in other media depicting a building or any object viewed from above, geometrically represented as projected on a horizontal plane.",,See http://vocab.getty.edu/page/aat/300034104,,http://www.w3.org/2000/01/rdf-schema#Class
Diagram,Diagram,,Diagram,Graphic designs intended to explain rather than simply represent. ,,See http://vocab.getty.edu/page/aat/300015387,"in geometry, a diagram may be a figure composed of lines, serving to illustrate a definition or statement, or to aid in the proof of a proposition",http://www.w3.org/2000/01/rdf-schema#Class
Map,Map,,Map,"Refers to graphic or photogrammetric representations of the Earth's surface or a part of it, including physical features and political boundaries, where each point corresponds to a geographical or celestial position according to a definite scale or projection.",,See http://vocab.getty.edu/page/aat/300028094,,http://www.w3.org/2000/01/rdf-schema#Class
MusicalNotation,Musical Notation,,MusicalNotation,General term for systems used to visually represent music through written words or standard notations.,,See http://vocab.getty.edu/page/aat/300417622,,http://www.w3.org/2000/01/rdf-schema#Class
IdentificationKey,Identification Key,,IdentificationKey,A taxonomic key used for identifying unknown organisms.,,,,http://www.w3.org/2000/01/rdf-schema#Class
ScannedText,Scanned Text,,ScannedText,A body of physical type or written matter transformed into an electronic format that can be used to reproduce the original material on a screen.  ,,,,http://www.w3.org/2000/01/rdf-schema#Class
RecordedText,Recorded Text,,RecordedText,A body of physical type or written matter read aloud by a narrator and recorded. ,,,,http://www.w3.org/2000/01/rdf-schema#Class
RecordedOrganism,Recorded Organism,,RecordedOrganism,The sounds produced by an organism or organisms recorded on an audio medium.,,,,http://www.w3.org/2000/01/rdf-schema#Class
TaxonPage,Taxon Page,,TaxonPage,A web page summarizing information about a particular taxon.,,,,http://www.w3.org/2000/01/rdf-schema#Class
MultimediaLearningObject,Multimedia Learning Object,,MultimediaLearningObject,Works that employ several distinct media forms to improve learning outcomes.,,,,http://www.w3.org/2000/01/rdf-schema#Class
VirtualRealityEnvironment,Virtual Reality Environment,,VirtualRealityEnvironment,Use with regard to types of computer interface that produce compelling sensory output in response to user selections or movements.,,See http://vocab.getty.edu/page/aat/300238469,,http://www.w3.org/2000/01/rdf-schema#Class
GlossaryPage,Glossary Page,,GlossaryPage,"Alphabetical lists of terms related to a particular subject or area of interest, including definitions or explanations of usage.",,See http://vocab.getty.edu/page/aat/300026189,,http://www.w3.org/2000/01/rdf-schema#Class
