term_localName,label,rdfs_comment,skos_scopeNote,dcterms_description,examples,rdf_type,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_layer,tdwgutility_required,tdwgutility_repeatable
continent,Continent,The name of the continent in which the Location occurs.,,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"`Africa`, `Antarctica`, `Asia`, `Europe`, `North America`, `Oceania`, `South America`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
coordinatePrecision,Coordinate Precision,A decimal representation of the precision of the coordinates given in the decimalLatitude and decimalLongitude.,,,`0.00001` (normal GPS limit for decimal degrees). `0.000278` (nearest second). `0.01667` (nearest minute). `1.0` (nearest degree).,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
coordinateUncertaintyInMeters,Coordinate Uncertainty In Meters,"The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term.",,,`30` (reasonable lower limit of a GPS reading under good conditions if the actual precision was not recorded at the time). `71` (uncertainty for a UTM coordinate having 100 meter precision and a known spatial reference system).,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
country,Country,The name of the country or major administrative unit in which the Location occurs.,,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"`Denmark`, `Colombia`, `España`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
countryCode,Country Code,The standard code for the country in which the Location occurs.,,Recommended best practice is to use an ISO 3166-1-alpha-2 country code.,"`AR`, `SV`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
county,County,"The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs.",,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"`Missoula`, `Los Lagos`, `Mataró`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
dateIdentified,Date Identified,The date on which the subject was determined as representing the Taxon.,The date on which the person(s) given under Identified By applied a Scientific Taxon Name to the resource.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC). `2009-02-20T08:40Z` (20 February 2009 8:40am UTC). `2018-08-29T15:19` (3:19pm local time on 29 August 2018). `1809-02-12` (some time during 12 February 1809). `1906-06` (some time in June 1906). `1971` (some time in the year 1971). `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC). `1900/1909` (some time during the interval between the beginning of the year 1900 and the end of the year 1909). `2007-11-13/15` (some time in the interval between 13 November 2007 and 15 November 2007).,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/TaxonomicCoverage,,,No,No
decimalLatitude,Decimal Latitude,"The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.",,,`-41.0983423`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
decimalLongitude,Decimal Longitude,"The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.",,,`-121.1761111`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
footprintSpatialFit,Footprint Spatial Fit,"The ratio of the area of the footprint (footprintWKT) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given footprint does not completely contain the original representation. The footprintSpatialFit is undefined (and should be left empty) if the original representation is a point without uncertainty and the given georeference is not that same point (without uncertainty). If both the original and the given georeference are the same point, the footprintSpatialFit is 1.",,"Detailed explanations with graphical examples can be found in the Georeferencing Best Practices, Chapman and Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).","`0`, `1`, `1.5708`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
footprintSRS,Footprint SRS,"A Well-Known Text (WKT) representation of the Spatial Reference System (SRS) for the footprintWKT of the Location. Do not use this term to describe the SRS of the decimalLatitude and decimalLongitude, even if it is the same as for the footprintWKT - use the geodeticDatum instead.",,,"`GEOGCS[""GCS_WGS_1984"", DATUM[""D_WGS_1984"", SPHEROID[""WGS_1984"",6378137,298.257223563]], PRIMEM[""Greenwich"",0], UNIT[""Degree"",0.0174532925199433]]` (WKT for the standard WGS84 Spatial Reference System EPSG:4326).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
footprintWKT,Footprint WKT,"A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines the Location. A Location may have both a point-radius representation (see decimalLatitude) and a footprint representation, and they may differ from each other.",,,"`POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))` (the one-degree bounding box with opposite corners at longitude=10, latitude=20 and longitude=11, latitude=21)",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
geodeticDatum,Geodetic Datum,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based.",,"Recommended best practice is to use the EPSG code of the SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value `unknown`.","`EPSG:4326`, `WGS84`, `NAD27`, `Campo Inchauspe`, `European 1950`, `Clarke 1866`, `unknown`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
georeferencedBy,Georeferenced By,"A list (concatenated and separated) of names of people, groups, or organizations who determined the georeference (spatial representation) for the Location.",,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"`Brad Millen (ROM)`, `Kristina Yamamoto | Janet Fang`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
georeferenceProtocol,Georeference Protocol,"A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.",,,"`Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
georeferenceRemarks,Georeference Remarks,"Notes or comments about the spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in georeferenceProtocol.",,,`Assumed distance by road (Hwy. 101)`.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
