term_localName,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
subgenus,Subgenus,The full scientific name of the subgenus in which the taxon is classified.,A value for this term should be a complete subgenus name as required by the appropriate nomenclatural code.,`Abacetus (Parastygis)`; `Dicranum subgen. Orthodicranum`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,simple
feedbackURL,Feedback URL,A uniform resource locator (URL) that points to a webpage on which a form may be submitted to gather feedback about the record.,Recommended best practice is to optionally include query strings that act to pre-populate web page form elements and communicate the context.,`https://example.com/new?title=New+issue&body=This+comment+is+about+CAN12345`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/,,simple
typifiedName,Typified Name,A scientific name that is based on a type specimen.,Recommended best practice is also to indicate the dwc:typeStatus of the specimen.,`Polysiphonia amphibolis Womersley`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName,http://rs.tdwg.org/dwc/terms/Identification,,simple
fundingAttributionID,Funding Attribution ID,A list (concatenated and separated) of the globally unique identifiers for the funding organizations or agencies that supported the project.,"Provide a unique identifier for the funding body, such as an identifier used in governmental or international databases. If no official identifier exists, use a persistent and unique identifier within your organization or dataset. The recommended best practice is to separate the values in a list with space vertical bar space ( | ).",`https://ror.org/00epmv149`; `https://ror.org/00epmv149 | https://ror.org/04jnzhb65`; `https://www.wikidata.org/wiki/Q13102615`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Event,,simple
projectID,Project ID,A list (concatenated and separated) of identifiers for projects that contributed to a dwc:Event.,"A projectID may be shared in multiple distinct datasets. The nature of the association can be described in the metadata project description element. This term should be used to provide a globally unique identifier (GUID) for a project, if available. This could be a DOI, URI, or any other persistent identifier that ensures a project can be uniquely distinguished from others. The recommended best practice is to separate the values in a list with space vertical bar space ( | ).",`RCN276730`; `RCN276730 | Artsproject_7-24`; `OC202405`; `https://arvenetternansen.com/`; `https://doi.org/10.3030/101180559`; `https://doi.org/10.26259/3b15eca7`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/Project,http://rs.tdwg.org/dwc/terms/Event,,simple
projectTitle,Project Title,A list (concatenated and separated) of titles or names for projects that contributed to a dwc:Event.,Use this term to provide the official name or title of a project as it is commonly known and cited. Avoid abbreviations unless they are widely understood. The recommended best practice is to separate the values in a list with space vertical bar space ( | ).,`The Nansen Legacy`; `Scalidophora i Noreg`; `Arctic Deep`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/Project/ProjectTitle,http://rs.tdwg.org/dwc/terms/Event,,simple
preparations,Preparations,A list (concatenated and separated) of preparations and preservation methods for a dwc:MaterialEntity.,"Recommended best practice is to separate the values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`fossil`; `cast`; `photograph`; `DNA extract`; `skin | skull | skeleton`; `whole animal (EtOH) | tissue (EDTA)`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/SpecimenUnit/Preparations/PreparationsText,http://rs.tdwg.org/dwc/terms/MaterialEntity,,simple
institutionID,Institution ID,An identifier for the institution having custody of the object(s) or information referred to in the record.,"For physical specimens, the recommended best practice is to use a globally unique and resolvable identifier from a collections registry such as the Research Organization Registry (ROR) or the Global GBIF Registry of Scientific Collections (https://scientific-collections.gbif.org/)",`https://ror.org/015hz7p22`; `http://grscicoll.org/institution/museum-southwestern-biology`; `https://www.gbif.org/grscicoll/institution/e3d4dcc4-81e2-444c-8a5c-41d1044b5381`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/SourceInstitutionID,http://rs.tdwg.org/dwc/terms/,,simple
collectionID,Collection ID,An identifier for the collection or dataset from which the record was derived.,"For physical specimens, the recommended best practice is to use a globally unique and resolvable identifier from a collections registry such as the Global Registry of Scientific Collections (https://scientific-collections.gbif.org/).",`https://scientific-collections.gbif.org/collection/fbd3ed74-5a21-4e01-b86a-33d36f032d9c`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/SourceID,http://rs.tdwg.org/dwc/terms/,,simple
latestEonOrHighestEonothem,Latest Eon Or Highest Eonothem,"The full name of the latest possible geochronologic eon or highest chrono-stratigraphic eonothem or the informal name (""Precambrian"") attributable to the stratigraphic horizon from which the dwc:MaterialEntity was collected.",,`Phanerozoic`; `Proterozoic`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/GeologicalContext,,simple
