term_localName,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass
CrystalMeasurement-TitleCitation,CrystalMeasurement TitleCitation,Formal citation for a paper or electronic publication.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisDateTime-DateText,AnalysisDateTime DateText,Free text to allow for vague dates or description of analysis period.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Alteration,Alteration,"Container for describing metasomatic, metamorphic or diagenetic changes to units",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HostRockStratigraphy-Bed,HostRockStratigraphy Bed,The smallest division of a named stratified series normally with well defined division from adjacent deposits.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement-Parameter,CrystalMeasurement Parameter,"Describes type of measurement or fact, such as width, abundance, circumference, temperature etc. or color etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
FeedingPredationTraces,FeedingPredationTraces,"Free text description relating to aspects of feeding and predation e.g. ammonite with bite mark from plesiosaur,  shell drilled by predatory gastropod etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HazardText,HazardText,"Free text describing any hazards that may be associated with the specimen/unit e.g. is it radioactive, poisonous, carcinogenic?",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists,Geologists,The geologist(s) and or organisation responsible for logging the borehole and or maintaining the borehole record.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement-Method,CrystalMeasurement Method,Method used to make measurement.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisReferences-TitleCitation,AnalysisReferences TitleCitation,Formal citation for a paper or electronic publication.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-Representation,Geologists Representation,"Language-specific label representation.
[ATTR: language]",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HoleDirection,HoleDirection,Direction and inclination of the borehole or well.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalForm,CrystalForm,Container element for describing the crystal form of a mineral unit.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisDateTime-ISODateTimeBegin,AnalysisDateTime ISODateTimeBegin,"The exact date (and time) or beginning of a period, expressed in a modified ISO/ANSI 8601 standard structured format.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement,CrystalMeasurement,Individual measurement or fact related to a crystal unit - container for standard MeasurementOrFact complex type from main schema.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisDateTime-TimeZone,AnalysisDateTime TimeZone,The time zone to which the time-of-day data refer.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalFormText,CrystalFormText,Free text description of crystal form.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisDateTime,AnalysisDateTime,When the analysis was carried out.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement-AppliesTo,CrystalMeasurement AppliesTo,"Depending on the use of the type, this can further specify the actual part measured. For example, a measurement of temperature may be a surface, air or sub-surface measurement.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisReferences,AnalysisReferences,Container for 1 or more references related to the analysis.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
BaselineDatum,BaselineDatum,Text - what is the baseline e.g. top of borehole or base of measured section,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HostRockStratigraphy,HostRockStratigraphy,Container for any stratigraphic determination specific to the host rock. For instance the gathering site may include a range of stratigraphic horizons whilst the unit host rock may represent just one. The unit itself might be different if it is allochthonous in origin. Minerals may be of a different age from their host rock.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-Abbreviation,Geologists Abbreviation,"Restricted to 50 characters maximum length, including blanks (recommended to be shorter!). Label abbreviations are especially important when displaying information in a tabular format.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-OrgUnit,Geologists OrgUnit,(vCard:OrgUnit),,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Completeness,Completeness,"Free text descrbing the degree of completeness of the specimen e.g. complete, cephalon only, but may describe completeness of a part e.g. complete skull.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DipDegrees,DipDegrees,The dip in degrees of laminae or stratal surfaces in this layer.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Hazard,Hazard,"Container for describing hazards that may be associated with the specimen e.g. radioactive, toxic, carcinogens etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-PreferredName,Geologists PreferredName,"May differ from the first given name: second given name, nickname ('Bob' for 'Robert'), etc. (vCard:Nickname)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-Name,Geologists Name,"Full organization or corporate name in multiple languages (en: 'Botanical Garden of ...', de: 'Botanischer Garten von ...'). vCard:Org.OrgName). The Label mechanism also supports acronyms / abbreviations (no vCard equivalent!).",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisReferences-CitationDetail,AnalysisReferences CitationDetail,"Specific page, figure or illustration number(s) within the reference.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement-Duration,CrystalMeasurement Duration,Duration of measurement in time.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
EarthScienceSpecimen,EarthScienceSpecimen,Container for details that generally relate to the management of earth science specimens and their individual stratigraphic age (which may be different or more specific than that recorderd for the gathering site or the host rock.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement-Accuracy,CrystalMeasurement Accuracy,Statement of accuracy of measurement.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisDateTime-TimeOfDayBegin,AnalysisDateTime TimeOfDayBegin,Time of day in hours from midnight for an exact point in time or for the beginning of a time period.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DrillMethod,DrillMethod,"How the borehole or well was drilled e.g. reverse circulation drilling, diamond coring, percussion drilling, auger drilling, rotary/barber drilling etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
BottomSurface,BottomSurface,Container for details of bottom surface of layer or stratum.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-SortingName,Geologists SortingName,The full name with the elements in preferred sorting sequence (vCard: Sort-String).,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-Suffix,Geologists Suffix,"Suffix to name that should be output after name, regardless whether it is in sorting sequence (Inherited, Given) or not. Examples: 'Jun.', 'III.'. (vCard:N.Suffix)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
