document_modified,version,version_issued,standard_status,label,description,standard
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/450/version/2015-03-27,2015-03-27,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2020-07-26T10:22:16-05:00,http://www.tdwg.org/standards/450/version/2014-12-23,2014-12-23,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/450/version/2014-10-23,2014-10-23,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/450/version/2013-05-25,2013-05-25,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/450/version/2013-03-28,2013-03-28,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/450/version/2011-10-16,2011-10-16,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/450/version/2009-12-07,2009-12-07,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/450/version/2009-10-09,2009-10-09,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2020-01-27T09:18:59-06:00,http://www.tdwg.org/standards/638/version/2013-10-28,2013-10-28,superseded,Audubon Core,The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections.,http://www.tdwg.org/standards/638
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/147/version/2017-04-25,2017-04-25,recommended,Standards Documentation Standard,A standard that documents how standards should be described in human- and machine-readable terms.,http://www.tdwg.org/standards/147
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/642/version/2017-04-25,2017-04-25,recommended,Vocabulary Maintenance Standard,A standard that describes the processes used to modify TDWG vocabularies and their associated documents.,http://www.tdwg.org/standards/642
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/150/version/2011-01-30,2011-01-30,recommended,GUID and Life Sciences Identifiers Applicability Statements,This standard provides guidance on how to use GUIDs to meet specific requirements of the biodiversity information community.,http://www.tdwg.org/standards/150
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/449/version/2009-09-09,2009-09-09,recommended,TDWG Access Protocol for Information Retrieval (TAPIR),"TAPIR is a computer protocol designed for discovery, search and retrieval of distributed data over the Internet. ",http://www.tdwg.org/standards/449
2020-08-23T20:56:15-05:00,http://www.tdwg.org/standards/638/version/2020-01-27,2020-01-27,superseded,Audubon Core,The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections.,http://www.tdwg.org/standards/638
2020-08-12T14:28:43-05:00,http://www.tdwg.org/standards/450/version/2017-10-06,2017-10-06,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2020-08-20T11:06:04-05:00,http://www.tdwg.org/standards/450/version/2020-08-12,2020-08-12,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2020-10-16T15:55:21-04:00,http://www.tdwg.org/standards/450/version/2020-08-20,2020-08-20,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2020-10-18T13:55:35-04:00,http://www.tdwg.org/standards/638/version/2020-08-23,2020-08-23,superseded,Audubon Core,The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections.,http://www.tdwg.org/standards/638
2020-10-28T21:41:58-04:00,http://www.tdwg.org/standards/450/version/2020-10-13,2020-10-13,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2020-10-28T22:43:20-04:00,http://www.tdwg.org/standards/638/version/2020-10-13,2020-10-13,superseded,Audubon Core,The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections.,http://www.tdwg.org/standards/638
2021-03-29T15:00:49-05:00,http://www.tdwg.org/standards/450/version/2020-10-28,2020-10-28,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2021-02-01T12:26:12-05:00,http://www.tdwg.org/standards/638/version/2020-10-28,2020-10-28,superseded,Audubon Core,The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections.,http://www.tdwg.org/standards/638
2021-02-01T12:26:12-05:00,http://www.tdwg.org/standards/638/version/2021-02-01,2021-02-01,recommended,Audubon Core,The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections.,http://www.tdwg.org/standards/638
2021-05-05T20:05:31-05:00,http://www.tdwg.org/standards/450/version/2021-03-29,2021-03-29,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2021-05-05T20:05:31-05:00,http://www.tdwg.org/standards/450/version/2021-04-27,2021-04-27,recommended,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2021-06-27T22:26:22-05:00,http://www.tdwg.org/standards/12345/version/2021-06-27,2021-06-27,recommended,TDWG ABCDEFG Standard,Access to Biological Collection Data Extended for Geosciences Standard,http://www.tdwg.org/standards/12345
