standard,part,rdf_type
http://www.tdwg.org/standards/147,https://github.com/tdwg/vocab/blob/master/sds/documentation-specification.md,foaf:Document
http://www.tdwg.org/standards/642,https://github.com/tdwg/vocab/blob/master/vms/maintenance-specification.md,foaf:Document
http://www.tdwg.org/standards/638,http://rs.tdwg.org/ac/,tdwgutility:Vocabulary
http://www.tdwg.org/standards/638,https://terms.tdwg.org/wiki/Audubon_Core,foaf:Document
http://www.tdwg.org/standards/638,https://terms.tdwg.org/wiki/Audubon_Core_Structure,foaf:Document
http://www.tdwg.org/standards/638,https://terms.tdwg.org/wiki/Audubon_Core_Term_List,foaf:Document
http://www.tdwg.org/standards/638,https://terms.tdwg.org/wiki/Audubon_Core_Non_Normative_Document,foaf:Document
http://www.tdwg.org/standards/450,http://rs.tdwg.org/dwc/,tdwgutility:Vocabulary
http://www.tdwg.org/standards/450,http://rs.tdwg.org/dwclink/,tdwgutility:Vocabulary
http://www.tdwg.org/standards/450,http://rs.tdwg.org/dwc/terms/guides/rdf/,foaf:Document
http://www.tdwg.org/standards/450,http://rs.tdwg.org/dwc/terms/guides/text/,foaf:Document
http://www.tdwg.org/standards/450,http://rs.tdwg.org/dwc/terms/guides/xml/,foaf:Document
http://www.tdwg.org/standards/450,http://rs.tdwg.org/dwc/terms/simple/,foaf:Document
http://www.tdwg.org/standards/150,https://github.com/tdwg/guid-as/blob/master/guid/applicability_statement.doc,foaf:Document
http://www.tdwg.org/standards/150,https://github.com/tdwg/guid-as/blob/master/lsid/applicability_statement.doc,foaf:Document
http://www.tdwg.org/standards/449,http://tdwg.github.io/tapir/docs/tdwg_tapir_specification_2010-05-05.html,foaf:Document
http://www.tdwg.org/standards/449,http://tdwg.github.io/tapir/schema/tapir.xsd,foaf:Document
