document_modified,standard,standard_deprecated,label,description,standard_created,standard_modified,status,category,citation
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/147,,TDWG Standards Documentation Standard (SDS),The TDWG Standards Documentation Standard consists of a single document: the Standards Documentation Specification. That document defines how TDWG standards are to be presented. It provides details about the hierarchical structure of standards and versioning of standards components. It specifies how the properties of standards and their components are to be described in human-readable and machine-readable terms.,2017-04-25,2017-04-25,Current standard,Technical specification,Vocabulary Maintenance Specification Task Group. 2017. Standards Documentation Standard. Biodiversity Information Standards (TDWG) http://www.tdwg.org/standards/147
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/642,,Vocabulary Maintenance Standard (VMS),The TDWG Vocabulary Maintenance Standard consists of a single document: the Vocabulary Maintenance Specification (http://rs.tdwg.org/vms/doc/specification/ )and their associated documents.,2017-04-25,2017-04-25,Current standard,Best current practice,Vocabulary Maintenance Specification Task Group. 2017. Vocabulary Maintenance Standard. Biodiversity Information Standards (TDWG) http://www.tdwg.org/standards/642
2023-09-05T08:12:42-05:00,http://www.tdwg.org/standards/638,,Audiovisual Core Multimedia Resources Metadata Schema,"The Audiovisual Core (AC) is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections. These vocabularies aim to represent information that will help to determine whether a particular resource or collection will be fit for some particular biodiversity science application before acquiring the media. Among others, the vocabularies address such concerns as the management of the media and collections, descriptions of their content, their taxonomic, geographic, and temporal coverage, and the appropriate ways to retrieve, attribute and reproduce them.",2013-10-28,2023-09-05,Current standard,Technical specification,Audiovisual Core Maintenance Group. 2023. Audubon Core Multimedia Resources Metadata Schema. Biodiversity Information Standards (TDWG) http://www.tdwg.org/standards/638
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/150,,GUID and Life Sciences Identifiers Applicability Statements,"The TDWG GUID Applicability Statement 1) provides guidance on how to use GUIDs (Globally Unique Identifiers) to meet specific requirements of the biodiversity information community; 2) applies to GUIDs in general; there is, or will be, a separate document for the applicability of each specific GUID technology. The LSID (Life Sciences Applicability Statement) describes how to use that technology.",2011-01-30,2011-01-30,Current standard,Applicability statement,Globally Unique Identifiers Task Group. 2011. GUID and Life Sciences Identifiers Applicability Statements. Biodiversity Information Standards (TDWG) http://www.tdwg.org/standards/150
2025-08-17T14:15:34-05:00,http://www.tdwg.org/standards/450,,Darwin Core,"Darwin Core is a standard maintained by the Darwin Core maintenance group. It includes a glossary of terms (in other contexts these might be called properties, elements, fields, columns, attributes, or concepts) intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. Darwin Core is primarily based on taxa, their occurrence in nature as documented by observations, specimens, samples, and related information.",2009-10-09,2025-07-10,Current standard,Technical specification,Darwin Core Task Group. 2009. Darwin Core. Biodiversity Information Standards (TDWG) http://www.tdwg.org/standards/450
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/449,,TDWG Access Protocol for Information Retrieval (TAPIR),"TAPIR is a computer protocol designed for discovery, search and retrieval of distributed data over the Internet. TAPIR consists of a specification that determines how client applications seeking information should communicate with server applications hosting data. TAPIR is an approved TDWG standard.",2009-09-09,2009-09-09,Current standard,Technical specification,TAPIR Task Group. 2009. TDWG Access Protocol for Information Retrieval (TAPIR). Biodiversity Information Standards (TDWG) http://www.tdwg.org/standards/449
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/115,,Access to Biological Collection Data (ABCD) Schema,"The Access to Biological Collections Data (ABCD) Schema is an evolving comprehensive standard for the access to and exchange of data about specimens and observations (a.k.a. primary biodiversity data). The ABCD Schema attempts to be comprehensive and highly structured, supporting data from a wide variety of databases. It is compatible with several existing data standards. Parallel structures exist so that either (or both) atomised data and free-text can be accommodated. Versions 1.2 and 2.06 are currently in use with the GBIF (Global Biodiversity Information Facility, http://www.gbif.org/ ) and  BioCASe (Biological Collection Access Service for Europe, http://www.biocase.org/ ) networks. Apart from the GBIF and BioCASe networks, the potential for the application of ABCD extends to internal networks, or in-house legacy data access (e.g. datasets from external sources that shall not be converted and integrated into an institution's own data, but be kept separately, though easily accessible). By defining relations between terms, ABCD is a step towards an ontology for biological collections.",2005-09-16,2005-09-16,Current (2005) standard,Technical specification,Access to Biological Collections Data Task Group. 2005. Access to Biological Collection Data (ABCD). Biodiversity Information Standards (TDWG) http://www.tdwg.org/standards/115
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/116,,Structured Descriptive Data (SDD),"In taxonomy, descriptive data takes a number of very different forms. Natural-language descriptions are semi-structured, semi-formalised descriptions of a taxon (or occasionally of an individual specimen). They may be simple, short and written in plain language (if used for a popular field guide), or long, highly formal and using specialised terminology when used in a taxonomic monograph or other treatment. Dichotomous keys are specialised identification tools comprising fragments of descriptive data arranged in couplets forming a branching tree. Each fragment (lead) comprises a small (occasionally verbose) natural-language description. Raw data descriptions usually comprise repeated measurements of parts of individual specimens, and are the basis from which the more abstracted descriptions in natural language and coded descriptions are derived. Few taxonomists consistently record and archive their raw data in a standardised format. The goal of the SDD standard is to allow capture, transport, caching and archiving of descriptive data in all the forms shown above, using a platform- and application-independent, XML-based international standard. Such a standard is crucial to enabling lossless porting of data between existing and future software platforms including identification, data-mining and analysis tools, and federated databases.",2005-09-16,2005-09-16,Current (2005) standard,Technical specification,Structure of Descriptive Data Subgroup. 2005. Structured Descriptive Data (SDD). Biodiversity Information Standards (TDWG) http://www.tdwg.org/standards/116
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/117,,Taxonomic Concept Transfer Schema (TCS),"The TCS schema was conceived to allow the representation of taxonomic concepts as defined in published taxonomic classifications, revisions and databases. As such, it specifies the structure for XML documents to be used for the transfer of defined concepts. Valid transfer documents may either explicitly detail the defining components of taxon concepts, transfer GUIDs referring to defined taxon concepts (if and when these are available) or a mixture of the two.",2005-09-16,2005-09-16,Current (2005) standard,Technical specification,Taxonomic Names and Concepts Interest Group. 2005. Taxonomic Concept Transfer Schema (TCS). Biodiversity Information Standards (TDWG) http://www.tdwg.org/standards/117
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/107,,Description Language for Taxonomy (DELTA),"When taxonomic descriptions are prepared for input to computer programs, the form of the coding is usually dictated by the requirements of a particular program or set of programs. This restricts the type of data that can be represented, and the number of other programs that can use the data. Even when working with a particular program, it is frequently necessary to set up different versions of the same basic data, for example, when using restricted sets of taxa or characters to make special-purpose keys. The potential advantages of automation, especially in connexion with large groups, cannot be realized if the data have to be restructured by hand for every operation. The DELTA (DEscription Language for TAxonomy) system was developed to overcome these problems. It was designed primarily for easy use by people rather than for convenience in computer programming, and is versatile enough to replace the written description as the primary means of recording data. Consequently, it can be used as a shorthand method of recording data, even if computer processing of the data is not envisaged.",1986,1986,Current (2005) standard,Technical specification,"Dallwitz, M. J. 2006. Description Language for Taxonomy (DELTA) Standard. Biodiversity Information Standards (TDWG) http://www.tdwg.org/standards/107"
