version,term,label,class,layer,definition
,http://iptc.org/std/Iptc4xmpExt/2008-02-29/City,City or Place Name,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"Optionally, the name of a city or place commonly found in gazetteers (such as a mountain or national park) in which the subjects (e. g., species, habitats, or events) were located."
,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CountryCode,Country Code,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"The geographic location of the specific entity or entities documented by the media item, expressed through a constrained vocabulary of countries using 2-letter ISO country code (e. g. ""it, si"")."
,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CountryName,Country Name,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"This field can be free text, but where possible, the use of http://iptc.org/std/Iptc4xmpExt/2008-02-29/CountryCode is preferred."
,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CVterm,Subject Category,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"Controlled vocabulary of subjects to support broad classification of media items. Terms from various controlled vocabularies may be used. AC-recommended vocabularies are preferred and may be unqualified literals (not a full URI). For terms from other vocabularies either a precise URI should be used, or, as long as all unqualified terms in all vocabularies are unique, metadata should provide the source vocabularies using the Subject Category Vocabulary term."
,http://iptc.org/std/Iptc4xmpExt/2008-02-29/LocationCreated,Location Created,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,The location at which the media recording instrument was placed when the media was created.
,http://iptc.org/std/Iptc4xmpExt/2008-02-29/LocationShown,Location Shown,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"The location that is depicted the media content, irrespective of the location at which the resource has been created."
,http://iptc.org/std/Iptc4xmpExt/2008-02-29/ProvinceState,Province or State,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"Optionally, the geographic unit immediately below the country level (individual states in federal countries, provinces, or other administrative units) in which the subject of the media resource (e. g., species, habitats, or events) were located (if such information is available in separate fields)."
,http://iptc.org/std/Iptc4xmpExt/2008-02-29/Sublocation,Sublocation,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"Free-form text location details of the location of the subjects, down to the village, forest, or geographic feature etc., below the Iptc4xmpExt:City place name, especially information that could not be found in a gazetteer."
,http://iptc.org/std/Iptc4xmpExt/2008-02-29/WorldRegion,World Region,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"Name of a world region in some high level classification, such as names for continents, waterbodies, or island groups, whichever is most appropriate. The terms preferably are derived from a controlled vocabulary."
,http://ns.adobe.com/exif/1.0/PixelXDimension,Image Width,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,The width in pixels of the media specified by the access point.
,http://ns.adobe.com/exif/1.0/PixelYDimension,Image Height,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,The height in pixels of the media specified by the access point.
,http://ns.adobe.com/photoshop/1.0/Credit,Credit,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"free text for ""Please cite this asﾅ"""
,http://ns.adobe.com/xap/1.0/CreateDate,Original Date and Time,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"The date of the creation of the original resource from which the digital media was derived or created. The date and time must comply with the World Wide Web Consortium (W3C) datetime practice, which requires that date and time representation correspond to ISO 8601:1998, but with year fields always comprising 4 digits. This makes datetime records compliant with 8601:2004. AC datetime values may also follow 8601:2004 for ranges by separating two IS0 8601 datetime fields by a solidus (""forward slash"", '/'). See also the wikipedia IS0 8601 entry for further explanation and examples."
,http://ns.adobe.com/xap/1.0/MetadataDate,Metadata Date,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"Point in time recording when the last modification to metadata (not necessarily the media object itself) occurred. The date and time must comply with the World Wide Web Consortium (W3C) datetime practice, which requires that date and time representation correspond to ISO 8601:1998, but with year fields always comprising 4 digits. This makes datetime records compliant with 8601:2004. AC datetime values may also follow 8601:2004 for ranges by separating two IS0 8601 datetime fields by a solidus (""forward slash"", '/'). See also the wikipedia IS0 8601 entry for further explanation and examples."
,http://ns.adobe.com/xap/1.0/Rating,Rating,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"A rating of the media resources, provided by record originators or editors, with -1 defining ﾓrejectedﾔ, ﾓ0ﾔ defining ﾓunratedﾔ, and ﾓ1ﾔ (worst) to ﾓ5ﾔ (best)."
,http://ns.adobe.com/xap/1.0/rights/Owner,Copyright Owner,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"A list of the names of the owners of the copyright. 'Unknown' is an acceptable value, but 'Public Domain' is not."
,http://ns.adobe.com/xap/1.0/rights/UsageTerms,License Terms,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,The license statement defining how resources may be used. Information on a collection applies to all contained objects unless the object has a different statement.
,http://ns.adobe.com/xap/1.0/rights/WebStatement,License URL,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"A URL defining or further elaborating on the license statement (e. g., a web page explaining the precise terms of use)."
http://dublincore.org/usage/terms/history/#creator-006,http://purl.org/dc/elements/1.1/creator,Creator,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,The person or organization responsible for creating the media resource.
http://dublincore.org/usage/terms/history/#format-007,http://purl.org/dc/elements/1.1/format,Format,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,A string describing the technical format of the resource (file format or physical medium).
http://dublincore.org/usage/terms/history/#language-007,http://purl.org/dc/elements/1.1/language,Language,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,Language(s) of resource itself represented in the ISO639-2 three-letter language code. ISO639-1 two-letter codes are permitted but deprecated.
http://dublincore.org/usage/terms/history/#rights-006,http://purl.org/dc/elements/1.1/rights,Copyright Statement,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"Information about rights held in and over the resource. A full-text, readable copyright statement, as required by the national legislation of the copyright holder. On collections, this applies to all contained objects, unless the object itself has a different statement. Examples: ﾓCopyright XY 2008, all rights reservedﾔ, ﾓﾩ 2008 XY Museumﾔ , ""Public Domain."", ""Copyright unknown."" Do not place just the name of the copyright holder(s) here! That belongs in a list in the xmpRights:Owner field, which should be supplied if dc:rights is not 'Public Domain', which is appropriate only if the resource is known to be not under copyright."
http://dublincore.org/usage/terms/history/#source-006,http://purl.org/dc/elements/1.1/source,Published Source,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,A string providing an identifiable source from which the described resources was derived.
http://dublincore.org/usage/terms/history/#type-006,http://purl.org/dc/elements/1.1/type,Type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"dc:type may take as value any type term from the DCMI Type Vocabulary. Recommended terms are Collection, StillImage, Sound, MovingImage, InteractiveResource, Text. Values may be used either in their literal form, or with a full namespace (e. g. from a controlled vocabulary, but the best practice is to use the literal form when using dc:type and use dcterms:type when you can supply the URI from a controlled vocabulary and implementers may require this practice. At least one of dc:type and dcterms:type must be supplied but, when feasible, supplying both may make the metadata more widely useful. The values of each should designate the same type, but in case of ambiguity dcterms:type prevails."
http://dublincore.org/usage/terms/history/#available-003,http://purl.org/dc/terms/available,Date Available,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"The date (often a range) that the resource became or will become available. The date and time must comply with the World Wide Web Consortium (W3C) datetime practice, which requires that date and time representation correspond to ISO 8601:1998, but with year fields always comprising 4 digits. This makes datetime records compliant with 8601:2004. AC datetime values may also follow 8601:2004 for ranges by separating two IS0 8601 datetime fields by a solidus (""forward slash"", '/'). See also the wikipedia IS0 8601 entry for further explanation and examples."
http://dublincore.org/usage/terms/history/#creatorT-002,http://purl.org/dc/terms/creator,Creator,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,A URI representing the person or organization responsible for creating the media resource.
http://dublincore.org/usage/terms/history/#descriptionT-001,http://purl.org/dc/terms/description,Description,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"Description of collection or individual resource, containing the Who, What, When, Where and Why as free-form text. This normative document is silent on the nature of formatting in the text. It is the role of implementers of an AC concrete representation (e.g., an XML Schema, an RDF representation, etc.) to decide and document how formatting advice will be represented in descriptions serialized according to such representations."
http://dublincore.org/usage/terms/history/#formatT-001,http://purl.org/dc/terms/format,Format,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,URI referencing the technical format of the resource (file format or physical medium).
http://dublincore.org/usage/terms/history/#identifierT-001,http://purl.org/dc/terms/identifier,Identifier,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"An arbitrary code that is unique for the resource, with the resource being either a provider, collection, or media item."
http://dublincore.org/usage/terms/history/#languageT-001,http://purl.org/dc/terms/language,Language,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,URI from the ISO639-2 list of URIs for ISO 3-letter language codes.
