document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,rdf_type,rdfs_subPropertyOf,dwcattributes_abcdEquivalence,dwcattributes_organizedInClass,dwcattributes_decision,rdf_about,dcterms_issued,dcterms_modified,dwcattributes_status,dcterms_replaces,dcterms_replaces1,dcterms_replaces2
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/Attributes-2007-04-17,Attributes-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,,,,Attributes,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,,,,Attributes,"List of additional measurements or characteristics (concatenated and separated) for which there is no existing semantic element, but which the data provider nevertheless feels the desire to share. Examples: ""Tragus length: 14mm; Weight: 120g"", ""Height: 1-1.5 meters tall; flowers yellow; uncommon"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/MeasurementsOrFacts,,,http://rs.tdwg.org/dwc/dwcore/Attributes-2007-04-17,2007-04-17,2007-04-17,superseded,,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/AuthorYearOfScientificName-2007-04-17,AuthorYearOfScientificName-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/ScientificNameAuthor-2003-06-17,,,AuthorYearOfScientificName,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/ScientificNameAuthor,,,Author Year of Scientific Name,"The author of the ScientificName and the year of publication, if known. More than one author can be listed in a concatenated string. Should be formatted with parentheses and year according to the conventions of the applicable NomenclaturalCode.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,{DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Bacterial/ParentheticalAuthorTeamAndYear + DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Bacterial/AuthorTeamAndYear} or {DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Botanical/AuthorTeamParenthesis + DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Botanical/AuthorTeam} or {DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Zoological/AuthorTeamOriginalAndYear + [= or] DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Zoological/AuthorTeamParenthesisAndYear},,,http://rs.tdwg.org/dwc/dwcore/AuthorYearOfScientificName-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/ScientificNameAuthor-2003-06-17,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/BasisOfRecord-2007-04-17,BasisOfRecord-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/BasisOfRecord-2003-06-17,,,BasisOfRecord,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/BasisOfRecord,,,Basis of Record,"A descriptive term indicating whether the record represents an object or observation. Examples: PreservedSpecimen- A physical object representing one or more organisms, part of organism, or artifact of an organism. synonyms: voucher, collection, lot. FossilSpecimen- A physical object representing one or more fossil organisms, part of fossil organism, or artifact of a fossil organism. LivingSpecimen- An organism removed from its natural occurrence and now living in captivity or cultivation. HumanObservation- A report by a known observer that an organism was present at the place and time. MachineObservation- A report by a monitoring device that an organism was present at the place and time. StillImage- An photograph, drawing, painting. MovingImage- A sequence of still images taken at regular intervals and intended to be played back as a moving image; may include sound. SoundRecording- An audio recording. OtherSpecimen- Any type of specimen not covered by any of the categories above.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/RecordBasis,,,http://rs.tdwg.org/dwc/dwcore/BasisOfRecord-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/BasisOfRecord-2003-06-17,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/CatalogNumber-2007-04-17,CatalogNumber-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumberText-2003-06-17,,,CatalogNumber,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberText,,,Catalog Number,"The alphanumeric value identifying a record within the collection. It is highly recommended that each record be uniquely identified within a collection by this value. It is also recommended that each record be uniquely identified in a global context by the combination of InstitutionCode, CollectionCode and CatalogNumber.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/UnitID,,,http://rs.tdwg.org/dwc/dwcore/CatalogNumber-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberText-2003-06-17,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/Class-2007-04-17,Class-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Class-2003-06-17,,,Class,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/Class,,,Class,The name of the class in which the organism is classified.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/HigherTaxa/HigherTaxon/HigherTaxonName with HigherTaxa/HigherTaxon/HigherTaxonRank = classis,,,http://rs.tdwg.org/dwc/dwcore/Class-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/Class-2003-06-17,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/CollectingMethod-2007-04-17,CollectingMethod-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,,,,CollectingMethod,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,,,,Collection Method,"The name of, reference to, or brief description of the method or protocol under which the collecting event occurred. Examples: ""UV light trap"", ""mist net"", ""bottom trawl"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/Method,,,http://rs.tdwg.org/dwc/dwcore/CollectingMethod-2007-04-17,2007-04-17,2007-04-17,superseded,,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/CollectionCode-2007-04-17,CollectionCode-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-17,,,CollectionCode,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectionCode,,,Collection Code,The code (or acronym) identifying the collection within the institution in which the organism record is cataloged.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/SourceID,,,http://rs.tdwg.org/dwc/dwcore/CollectionCode-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectionCode-2003-06-17,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/Collector-2007-04-17,Collector-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Collector-2003-06-17,,,Collector,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/Collector,,,Collector,"The name(s) (concatenated and separated) of collectors or observers. ""LIKE"" or ""contains"" substring query operations are meant to be used with this element to find matching collector names. The primary collector or observer, especially one whose CollectorNumber is also provided, should be listed first. Example: ""Oliver P. Pearson, Anita K. Pearson"" where the value in CollectorNumber ""OPP 7101"" corresponds to the number for the specimen in the field catalog (collector number) of Oliver P. Pearson.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/GatheringAgents/GatheringAgentsText,,,http://rs.tdwg.org/dwc/dwcore/Collector-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/Collector-2003-06-17,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/Continent-2007-04-17,Continent-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/ContinentOcean-2003-06-17,,,Continent,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/ContinentOcean,,,Continent,"The full, unabbreviated name of the continent on which the organism was collected or observed.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName with NamedAreas/NamedArea/AreaClass= Continent,,,http://rs.tdwg.org/dwc/dwcore/Continent-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/ContinentOcean-2003-06-17,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/Country-2007-04-17,Country-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Country-2003-06-17,,,Country,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/Country,,,Country,"The full, unabbreviated name of the country or major political unit in which the organism was collected or observed.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/Country/Name,,,http://rs.tdwg.org/dwc/dwcore/Country-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/Country-2003-06-17,,
