document_modified,version,version_modified,status,list_deprecated,list_localName,label,description,list_created,list_modified,vann_preferredNamespacePrefix,vann_preferredNamespaceUri,list
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2008-11-19,2008-11-19,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2009-01-18,2009-01-18,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2009-01-21,2009-01-21,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2009-01-23,2009-01-23,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2009-04-24,2009-04-24,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2009-04-29,2009-04-29,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2009-05-18,2009-05-18,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2009-07-06,2009-07-06,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2009-08-24,2009-08-24,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2009-09-11,2009-09-11,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2009-09-17,2009-09-17,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2009-09-21,2009-09-21,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2009-12-07,2009-12-07,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2011-10-16,2011-10-16,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2013-03-28,2013-03-28,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2013-05-25,2013-05-25,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/version/terms/2014-10-23,2014-10-23,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
2020-07-26T09:45:41-05:00,http://rs.tdwg.org/dwc/version/terms/2014-12-23,2014-12-23,superseded,,dwc/terms/,Core terms defined by Darwin Core,"This term list includes all currently valid terms that have been defined in the core Darwin Core namespace dwc:.  To comment on this schema, please create a new issue in https://github.com/tdwg/dwc/issues",2008-11-19,2014-12-23,dwc,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/
