termList,term
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/acceptedNameUsage
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/acceptedNameUsageID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/accordingTo
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/associatedMedia
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/associatedOccurrences
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/associatedOrganisms
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/associatedReferences
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/associatedSequences
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/associatedTaxa
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/basisOfRecord
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/bed
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/behavior
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/catalogNumber
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/class
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/collectionCode
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/collectionID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/continent
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/coordinatePrecision
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/coordinateUncertaintyInMeters
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/country
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/countryCode
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/county
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/dataGeneralizations
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/datasetID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/datasetName
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/dateIdentified
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/day
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/decimalLatitude
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/decimalLongitude
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/disposition
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/dynamicProperties
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/earliestAgeOrLowestStage
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/earliestEonOrLowestEonothem
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/earliestEpochOrLowestSeries
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/earliestEraOrLowestErathem
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/endDayOfYear
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/establishmentMeans
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/Event
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/eventDate
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/eventID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/eventRemarks
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/eventTime
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/family
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/fieldNotes
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/fieldNumber
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/footprintSpatialFit
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/footprintSRS
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/footprintWKT
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/formation
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/FossilSpecimen
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/genus
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/geodeticDatum
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/GeologicalContext
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/geologicalContextID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/georeferencedBy
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/georeferencedDate
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/georeferenceProtocol
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/georeferenceRemarks
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/georeferenceSources
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/georeferenceVerificationStatus
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/group
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/habitat
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/higherClassification
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/higherGeography
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/higherGeographyID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/highestBiostratigraphicZone
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/HumanObservation
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/Identification
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/identificationID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/identificationQualifier
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/identificationReferences
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/identificationRemarks
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/identificationVerificationStatus
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/identifiedBy
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/individualCount
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/informationWithheld
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/infraspecificEpithet
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/institutionCode
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/institutionID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/island
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/islandGroup
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/kingdom
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/latestAgeOrHighestStage
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/latestEonOrHighestEonothem
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/latestEpochOrHighestSeries
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/latestEraOrHighestErathem
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/latestPeriodOrHighestSystem
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/lifeStage
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/lithostratigraphicTerms
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/LivingSpecimen
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/locality
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/locationAccordingTo
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/locationID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/locationRemarks
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/lowestBiostratigraphicZone
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/MachineObservation
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/MaterialSample
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/materialSampleID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/maximumDepthInMeters
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/maximumElevationInMeters
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/measurementAccuracy
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/measurementDeterminedBy
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/measurementDeterminedDate
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/measurementID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/measurementMethod
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/MeasurementOrFact
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/measurementRemarks
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/measurementType
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/measurementUnit
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/measurementValue
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/member
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/minimumDepthInMeters
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/minimumElevationInMeters
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/month
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/municipality
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/nameAccordingTo
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/nameAccordingToID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/namePublishedIn
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/namePublishedInID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/namePublishedInYear
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/nomenclaturalCode
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/nomenclaturalStatus
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/Occurrence
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/occurrenceID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/occurrenceRemarks
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/occurrenceStatus
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/order
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/Organism
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/organismID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/organismName
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/organismQuantity
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/organismQuantityType
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/organismRemarks
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/organismScope
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/originalNameUsage
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/originalNameUsageID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/otherCatalogNumbers
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/ownerInstitutionCode
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/parentEventID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/parentNameUsage
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/parentNameUsageID
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/phylum
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/pointRadiusSpatialFit
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/preparations
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/PreservedSpecimen
http://rs-test.tdwg.org/dwc/terms/,http://rs-test.tdwg.org/dwc/terms/previousIdentifications
