replacing_version,replaced_version_localName
http://rs-test.tdwg.org/dwc/terms/version/acceptedNameUsage-2009-09-21,acceptedScientificName-2009-07-06
http://rs-test.tdwg.org/dwc/terms/version/acceptedTaxonID-2009-08-24,acceptedScientificNameID-2009-07-06
http://rs-test.tdwg.org/dwc/terms/version/acceptedTaxonName-2009-04-24,AcceptedTaxon-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/acceptedTaxonNameID-2009-04-24,AcceptedTaxonID-2009-01-21
http://rs-test.tdwg.org/dwc/terms/version/acceptedNameUsageID-2009-09-21,acceptedTaxonID-2009-08-24
http://rs-test.tdwg.org/dwc/terms/version/acceptedScientificName-2009-07-06,acceptedTaxonName-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/acceptedScientificNameID-2009-07-06,acceptedTaxonNameID-2009-04-24
http://dublincore.org/usage/terms/history/#accessRights-002,AccessConstraints-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/associatedMedia-2014-10-23,associatedMedia-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/associatedOccurrences-2014-10-23,associatedOccurrences-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/associatedReferences-2014-10-23,associatedReferences-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/associatedSequences-2014-10-23,associatedSequences-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/associatedTaxa-2014-10-23,associatedTaxa-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/originalNameUsage-2009-09-21,basionym-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/originalNameUsageID-2009-09-21,basionymID-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/basisOfRecord-2009-09-11,basisOfRecord-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/basisOfRecord-2009-12-07,basisOfRecord-2009-09-11
http://rs-test.tdwg.org/dwc/terms/version/basisOfRecord-2014-10-23,basisOfRecord-2009-12-07
http://rs-test.tdwg.org/dwc/terms/version/class-2009-08-24,class-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/collectionCode-2009-08-24,collectionCode-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/collectionCode-2009-09-11,collectionCode-2009-08-24
