replacing_term,replaced_term_localName
http://rs.tdwg.org/dwc/terms/acceptedNameUsage,acceptedScientificName
http://rs.tdwg.org/dwc/terms/acceptedTaxonID,acceptedScientificNameID
http://rs.tdwg.org/dwc/terms/acceptedTaxonName,AcceptedTaxon
http://rs.tdwg.org/dwc/terms/acceptedNameUsageID,acceptedTaxonID
http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID,AcceptedTaxonID
http://rs.tdwg.org/dwc/terms/acceptedScientificName,acceptedTaxonName
http://rs.tdwg.org/dwc/terms/acceptedScientificNameID,acceptedTaxonNameID
http://purl.org/dc/terms/accessRights,AccessConstraints
http://rs.tdwg.org/dwc/terms/originalNameUsage,basionym
http://rs.tdwg.org/dwc/terms/originalNameUsageID,basionymID
http://rs.tdwg.org/dwc/terms/eventDate,EarliestDateCollected
http://rs.tdwg.org/dwc/terms/eventTime,EndTimeOfDay
http://rs.tdwg.org/dwc/terms/eventMeasurementAccuracy,EventAttributeAccuracy
http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedBy,EventAttributeDeterminedBy
http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedDate,EventAttributeDeterminedDate
http://rs.tdwg.org/dwc/terms/eventMeasurementID,EventAttributeID
http://rs.tdwg.org/dwc/terms/SamplingAttributeType,EventAttributeType
http://rs.tdwg.org/dwc/terms/eventMeasurementType,EventAttributeType
http://rs.tdwg.org/dwc/terms/eventMeasurementUnit,EventAttributeUnit
http://rs.tdwg.org/dwc/terms/eventMeasurementValue,EventAttributeValue
http://rs.tdwg.org/dwc/terms/MeasurementOrFact,EventMeasurement
http://rs.tdwg.org/dwc/terms/measurementAccuracy,eventMeasurementAccuracy
http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,eventMeasurementDeterminedBy
http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,eventMeasurementDeterminedDate
http://rs.tdwg.org/dwc/terms/measurementID,eventMeasurementID
http://rs.tdwg.org/dwc/terms/measurementRemarks,eventMeasurementRemarks
http://rs.tdwg.org/dwc/terms/measurementType,eventMeasurementType
http://rs.tdwg.org/dwc/terms/measurementUnit,eventMeasurementUnit
http://rs.tdwg.org/dwc/terms/measurementValue,eventMeasurementValue
http://rs.tdwg.org/dwc/terms/dataGeneralizations,Generalizations
http://rs.tdwg.org/dwc/terms/higherTaxonNameID,HigherTaxonID
http://rs.tdwg.org/dwc/terms/higherClassification,higherTaxonName
http://rs.tdwg.org/dwc/terms/parentNameUsageID,higherTaxonNameID
http://rs.tdwg.org/dwc/terms/organismID,individualID
http://rs.tdwg.org/dwc/terms/eventDate,LatestDateCollected
http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem,LatestEonOrLowestEonothem
http://rs.tdwg.org/dwc/terms/namePublishedInID,namePublicationID
http://rs.tdwg.org/dwc/terms/measurementAccuracy,occurrenceMeasurementAccuracy
http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,occurrenceMeasurementDeterminedDate
http://rs.tdwg.org/dwc/terms/measurementID,occurrenceMeasurementID
http://rs.tdwg.org/dwc/terms/measurementRemarks,occurrenceMeasurementRemarks
http://rs.tdwg.org/dwc/terms/measurementType,occurrenceMeasurementType
http://rs.tdwg.org/dwc/terms/measurementUnit,occurrenceMeasurementUnit
http://rs.tdwg.org/dwc/terms/measurementValue,occurrenceMeasurementValue
http://rs.tdwg.org/dwc/terms/previousIdentifications,PreviousIdentifications
http://rs.tdwg.org/dwc/terms/Occurrence,Sample
http://rs.tdwg.org/dwc/terms/occurrenceMeasurementAccuracy,SampleAttributeAccuracy
http://rs.tdwg.org/dwc/terms/occurrenceMeasurementDeterminedBy,SampleAttributeDeterminedBy
http://rs.tdwg.org/dwc/terms/occurrenceMeasurementDeterminedDate,SampleAttributeDeterminedDate
http://rs.tdwg.org/dwc/terms/occurrenceMeasurementID,SampleAttributeID
http://rs.tdwg.org/dwc/terms/occurrenceMeasurementType,SampleAttributeType
http://rs.tdwg.org/dwc/terms/SamplingAttributeType,SampleAttributeType
http://rs.tdwg.org/dwc/terms/occurrenceMeasurementUnit,SampleAttributeUnit
http://rs.tdwg.org/dwc/terms/occurrenceMeasurementValue,SampleAttributeValue
http://rs.tdwg.org/dwc/terms/occurrenceRemarks,SampleRemarks
http://rs.tdwg.org/dwc/terms/Event,SamplingEvent
http://rs.tdwg.org/dwc/terms/eventID,SamplingEventID
http://rs.tdwg.org/dwc/terms/locationID,SamplingLocationID
http://rs.tdwg.org/dwc/terms/locationRemarks,SamplingLocationRemarks
http://rs.tdwg.org/dwc/terms/taxonID,scientificNameID
http://rs.tdwg.org/dwc/terms/taxonRank,scientificNameRank
http://rs.tdwg.org/dwc/terms/eventTime,StartTimeOfDay
http://rs.tdwg.org/dwc/terms/nameAccordingTo,taxonAccordingTo
http://rs.tdwg.org/dwc/terms/taxonNameID,TaxonID
http://rs.tdwg.org/dwc/terms/scientificNameID,TaxonNameID
http://rs.tdwg.org/dwc/terms/scientificNameRank,taxonRank
http://rs.tdwg.org/dwc/terms/verbatimTaxonRank,verbatimScientificNameRank
