identifier,context,text
acceptedNameUsage:label,Label for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage,Accepted Name Usage
acceptedNameUsage:rdfs_comment,Comment for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage,"The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) dwc:Taxon."
acceptedNameUsage:dcterms_description,Description for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage,"The full scientific name, with authorship and date information if known, of the accepted (botanical) or valid (zoological) name in cases where the provided dwc:scientificName is considered by the reference indicated in the dwc:nameAccordingTo property, or of the content provider, to be a synonym or misapplied name. When applied to a dwc:Organism or dwc:Occurrence, this term should be used in cases where a content provider regards the provided dwc:scientificName to be inconsistent with the taxonomic perspective of the content provider. For example, there are many discrepancies within specimen collections and observation datasets between the recorded name (e.g., the most recent identification from an expert who examined a specimen, or a field identification for an observed dwc:Organism), and the name asserted by the content provider to be taxonomically accepted."
acceptedNameUsage:examples,Examples for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage,`Tamias minimus` (valid name for `Eutamias minimus`)
acceptedNameUsageID:label,Label for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID,Accepted Name Usage ID
acceptedNameUsageID:rdfs_comment,Comment for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID,An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.
acceptedNameUsageID:dcterms_description,Description for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID,This term should be used for synonyms or misapplied names to refer to the dwc:taxonID of a dwc:Taxon record that represents the accepted (botanical) or valid (zoological) name. For Darwin Core Archives the related record should be present locally in the same archive.
acceptedNameUsageID:examples,Examples for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID,`tsn:41107` (ITIS); `urn:lsid:ipni.org:names:320035-2` (IPNI); `2704179` (GBIF); `6W3C4` (COL)
associatedMedia:label,Label for Associated Media http://rs.tdwg.org/dwc/terms/associatedMedia,Associated Media
associatedMedia:rdfs_comment,Comment for Associated Media http://rs.tdwg.org/dwc/terms/associatedMedia,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the dwc:Occurrence."
associatedOccurrences:label,Label for Associated Occurrences http://rs.tdwg.org/dwc/terms/associatedOccurrences,Associated Occurrences
associatedOccurrences:rdfs_comment,Comment for Associated Occurrences http://rs.tdwg.org/dwc/terms/associatedOccurrences,A list (concatenated and separated) of identifiers of other dwc:Occurrence records and their associations to this dwc:Occurrence.
associatedOccurrences:dcterms_description,Description for Associated Occurrences http://rs.tdwg.org/dwc/terms/associatedOccurrences,"This term can be used to provide a list of associations to other dwc:Occurrences. Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. Recommended best practice is to separate the values in a list with space vertical bar space (` | `)."
associatedOrganisms:label,Label for Associated Organisms http://rs.tdwg.org/dwc/terms/associatedOrganisms,Associated Organisms
associatedOrganisms:rdfs_comment,Comment for Associated Organisms http://rs.tdwg.org/dwc/terms/associatedOrganisms,A list (concatenated and separated) of identifiers of other dwc:Organisms and the associations of this dwc:Organism to each of them.
associatedOrganisms:dcterms_description,Description for Associated Organisms http://rs.tdwg.org/dwc/terms/associatedOrganisms,"This term can be used to provide a list of associations to other dwc:Organisms. Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. Recommended best practice is to separate the values in a list with space vertical bar space (` | `)."
associatedReferences:label,Label for Associated References http://rs.tdwg.org/dwc/terms/associatedReferences,Associated References
associatedReferences:rdfs_comment,Comment for Associated References http://rs.tdwg.org/dwc/terms/associatedReferences,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the dwc:Occurrence."
associatedReferences:dcterms_description,Description for Associated References http://rs.tdwg.org/dwc/terms/associatedReferences,"Recommended best practice is to separate the values in a list with space vertical bar space (` | `). Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. Note also that the intended usage of the term dcterms:references in Darwin Core when applied to a dwc:Occurrence is to point to the definitive source representation of that dwc:Occurrence if one is available. Note also that the intended usage of dcterms:bibliographicCitation in Darwin Core when applied to a dwc:Occurrence is to provide the preferred way to cite the dwc:Occurrence itself."
associatedSequences:label,Label for Associated Sequences http://rs.tdwg.org/dwc/terms/associatedSequences,Associated Sequences
associatedSequences:rdfs_comment,Comment for Associated Sequences http://rs.tdwg.org/dwc/terms/associatedSequences,A list (concatenated and separated) of dcterms:BibliographicResources for dwc:NucleotideSequences associated with a dwc:MaterialEntity.
associatedTaxa:label,Label for Associated Taxa http://rs.tdwg.org/dwc/terms/associatedTaxa,Associated Taxa
associatedTaxa:rdfs_comment,Comment for Associated Taxa http://rs.tdwg.org/dwc/terms/associatedTaxa,A list (concatenated and separated) of identifiers or names of dwc:Taxon records and the associations of this dwc:Occurrence to each of them.
associatedTaxa:dcterms_description,Description for Associated Taxa http://rs.tdwg.org/dwc/terms/associatedTaxa,"This term can be used to provide a list of associations to dwc:Taxon records other than the one defined in the dwc:Occurrence. Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. This term is not apt for establishing relationships between dwc:Taxon records, only between specific dwc:Occurrences of a dwc:Organism with other dwc:Taxon records. Recommended best practice is to separate the values in a list with space vertical bar space (` | `)."
basisOfRecord:label,Label for Basis Of Record http://rs.tdwg.org/dwc/terms/basisOfRecord,Basis Of Record
basisOfRecord:rdfs_comment,Comment for Basis Of Record http://rs.tdwg.org/dwc/terms/basisOfRecord,The specific nature of the data record.
basisOfRecord:dcterms_description,Description for Basis Of Record http://rs.tdwg.org/dwc/terms/basisOfRecord,Recommended best practice is to use a controlled vocabulary such as the set of local names of the identifiers for classes in Darwin Core.
bed:label,Label for Bed http://rs.tdwg.org/dwc/terms/bed,Bed
bed:rdfs_comment,Comment for Bed http://rs.tdwg.org/dwc/terms/bed,The full name of the lithostratigraphic bed from which the dwc:MaterialEntity was collected.
behavior:label,Label for Behavior http://rs.tdwg.org/dwc/terms/behavior,Behavior
behavior:rdfs_comment,Comment for Behavior http://rs.tdwg.org/dwc/terms/behavior,A behavior shown by a dwc:Organism.
behavior:dcterms_description,Description for Behavior http://rs.tdwg.org/dwc/terms/behavior,"This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value."
caste:label,Label for Caste http://rs.tdwg.org/dwc/terms/caste,Caste
caste:rdfs_comment,Comment for Caste http://rs.tdwg.org/dwc/terms/caste,A social caste of a dwc:Organism.
caste:dcterms_description,Description for Caste http://rs.tdwg.org/dwc/terms/caste,"Recommended best practice is to use a controlled vocabulary that aligns best with a dwc:Taxon. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value."
catalogNumber:label,Label for Catalog Number http://rs.tdwg.org/dwc/terms/catalogNumber,Catalog Number
catalogNumber:rdfs_comment,Comment for Catalog Number http://rs.tdwg.org/dwc/terms/catalogNumber,An identifier (preferably unique) for a resource within a collection.
class:label,Label for Class http://rs.tdwg.org/dwc/terms/class,Class
class:rdfs_comment,Comment for Class http://rs.tdwg.org/dwc/terms/class,The full scientific name of the class in which the dwc:Taxon is classified.
collectionCode:label,Label for Collection Code http://rs.tdwg.org/dwc/terms/collectionCode,Collection Code
collectionCode:rdfs_comment,Comment for Collection Code http://rs.tdwg.org/dwc/terms/collectionCode,"A name, acronym, coden, or initialism identifying a collection."
collectionID:label,Label for Collection ID http://rs.tdwg.org/dwc/terms/collectionID,Collection ID
collectionID:rdfs_comment,Comment for Collection ID http://rs.tdwg.org/dwc/terms/collectionID,An identifier for a collection.
collectionID:dcterms_description,Description for Collection ID http://rs.tdwg.org/dwc/terms/collectionID,"For physical specimens, the recommended best practice is to use a globally unique and resolvable identifier from a collections registry such as the Global Registry of Scientific Collections (https://scientific-collections.gbif.org/)."
continent:label,Label for Continent http://rs.tdwg.org/dwc/terms/continent,Continent
continent:rdfs_comment,Comment for Continent http://rs.tdwg.org/dwc/terms/continent,The name of the continent in which the dcterms:Location occurs.
continent:dcterms_description,Description for Continent http://rs.tdwg.org/dwc/terms/continent,"Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names. Recommended best practice is to leave this field blank if the dcterms:Location spans multiple entities at this administrative level or if the dcterms:Location might be in one or another of multiple possible entities at this level. Multiplicity and uncertainty of the geographic entity can be captured either in the term dwc:higherGeography or in the term dwc:locality, or both."
