"identifier","context","text"
"acceptedNameUsage:label","Label for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","Nombre aceptado en uso"
"acceptedNameUsage:rdfs_comment","Comment for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","El nombre completo, con autoría e información de fecha si se conoce, del taxón actualmente válido (zoológico) o aceptado (botánico) dwc:Taxon."
"acceptedNameUsage:dcterms_description","Description for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","El nombre científico completo, con información sobre la autoría y la fecha si se conoce, del nombre aceptado (botánico) o válido (zoológico) en los casos en que el dwc:scientificName proporcionado se considera, por la referencia indicada en la propiedad dwc:nameAccordingTo, o del proveedor de contenido, un sinónimo o un nombre mal aplicado. Cuando se aplica a un dwc:Organism o dwc:Occurrence, este término debe usarse en los casos en que un proveedor de contenido considera que el dwc:scientificName proporcionado es inconsistente con la perspectiva taxonómica del proveedor de contenido. Por ejemplo, existen muchas discrepancias dentro de las colecciones de especímenes y los conjuntos de datos de observación entre el nombre registrado (p. ej., la identificación más reciente de un experto que examinó un espécimen, o una identificación de campo para un dwc:Organism observado) y el nombre que el proveedor de contenido afirma que es taxonómicamente aceptado."
"acceptedNameUsage:examples","Examples for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","`Tamias minimus` (nombre válido para `Eutamias minimus`)"
"acceptedNameUsageID:label","Label for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","ID del Nombre Aceptado en Uso"
"acceptedNameUsageID:rdfs_comment","Comment for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","Un identificador para el nombre científico aceptado en uso (significado documentado del nombre según una fuente) del taxón actualmente válido (en zoología) o aceptado (en botánica)."
"acceptedNameUsageID:dcterms_description","Description for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","Este término debe usarse para sinónimos o nombres mal aplicados, para hacer referencia al dwc:taxonID de un registro dwc:Taxon que representa el nombre aceptado (en botánica) o válido (en zoología). En los Archivos Darwin Core, el registro relacionado debe estar presente localmente en el mismo archivo."
"acceptedNameUsageID:examples","Examples for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","`tsn:41107` (ITIS); `urn:lsid:ipni.org:names:320035-2` (IPNI); `2704179` (GBIF); `6W3C4` (COL)"
"associatedMedia:label","Label for Associated Media http://rs.tdwg.org/dwc/terms/associatedMedia","Medios asociados"
"associatedMedia:rdfs_comment","Comment for Associated Media http://rs.tdwg.org/dwc/terms/associatedMedia","Una lista (concatenada y delimitada) de identificadores (publicación, identificador global único, URI) de los contenidos multimedia asociados con el registro biológico."
"associatedOccurrences:label","Label for Associated Occurrences http://rs.tdwg.org/dwc/terms/associatedOccurrences","Registros asociados"
"associatedOccurrences:rdfs_comment","Comment for Associated Occurrences http://rs.tdwg.org/dwc/terms/associatedOccurrences","Una lista (concatenada y delimitada) de identificadores para otros registros dwc:Occurrence y sus asociaciones con este dwc:Occurrence."
