"identifier","context","text"
"acceptedNameUsage:label","Label for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","Usage du nom accepté"
"acceptedNameUsage:rdfs_comment","Comment for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","Le nom complet, avec les informations relatives à l'auteur et à la date si elles sont connues, du dwc:Taxon actuellement considéré valide (en zoologie) ou accepté (en botanique)."
"acceptedNameUsage:dcterms_description","Description for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","Le nom scientifique complet, avec les informations sur l'auteur et la date si elles sont connues, du nom accepté (botanique) ou valide (zoologie) dans les cas où le dwc:scientificName fourni est considéré par la référence indiquée dans la propriété dwc:accordingTo, ou par le fournisseur de données comme un synonyme ou un nom mal appliqué. Lorsqu'il est appliqué à un dwc:Organism ou à une dwc:Occurrence, ce terme doit être utilisé dans les cas où un fournisseur de données considère que le dwc:scientificName fourni n'est pas cohérent avec l'opinion taxonomique du fournisseur de données. Par exemple, il existe de nombreuses divergences dans les collections et les ensembles de données d'observation entre le nom indiqué (par exemple, l'identification la plus récente d'un expert qui a examiné un spécimen, ou une identification sur le terrain pour un dwc:Organism observé) et le nom avancé par le fournisseur de données comme étant valable sur le plan taxonomique."
"acceptedNameUsage:examples","Examples for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","`Tamias minimus` (nom valide pour `Eutamias minimus`)"
"acceptedNameUsageID:label","Label for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","Identifiant de l'usage du nom accepté"
"acceptedNameUsageID:rdfs_comment","Comment for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","Un identifiant pour l'usage du nom (signification documentée du nom selon une source) du taxon actuellement valide (zoologie) ou accepté (botanique)."
"acceptedNameUsageID:dcterms_description","Description for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","Ce terme devrait être utilisé pour les synonymes ou les noms mal appliqués pour se référer au dwc:taxonID d'un enregistrement dwc:Taxon qui représente le nom accepté (botanique) ou valide (zoologie). Pour les Archives Darwin Core, l'enregistrement correspondant doit être présent dans la même archive."
"acceptedNameUsageID:examples","Examples for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","`tsn:41107` (ITIS); `urn:lsid:ipni.org:names:320035-2` (IPNI); `2704179` (GBIF); `6W3C4` (COL)"
"associatedMedia:label","Label for Associated Media http://rs.tdwg.org/dwc/terms/associatedMedia","Média associé"
"associatedMedia:rdfs_comment","Comment for Associated Media http://rs.tdwg.org/dwc/terms/associatedMedia","Une liste (concaténée et séparée) d'identifiants (publication, identifiant unique global (GUI), URI) des médias associés à la dwc:Occurrence."
