header,predicate,type,value,attribute,subject_id
label,rdfs:label,language,,en,$root
label,dcterms:title,language,,en,$root
description,rdfs:comment,language,,en,$root
description,dcterms:description,language,,en,$root
$constant,dc:publisher,language,Biodiversity Information Standards (TDWG),en,$root
$constant,dcterms:publisher,iri,https://www.grid.ac/institutes/grid.480498.9,,$root
version_issued,dcterms:issued,datatype,,xsd:date,$root
vocabulary_status,tdwgutility:status,datatype,,xsd:string,$root
dc_creator,dc:creator,plain,,,$root
dcterms_license,dcterms:license,iri,,,$root
