vocabulary,termList
http://rs.tdwg.org/dwc/,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/,http://rs.tdwg.org/dwc/dc/
http://rs.tdwg.org/dwc/,http://rs.tdwg.org/dwc/dcterms/
http://rs.tdwg.org/dwc/,http://rs.tdwg.org/dwc/iri/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/terms/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/Iptc4xmpExt/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/exif/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/photoshop/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/xmp/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/xmpRights/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/dc/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/dcterms/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/dwc/
http://rs.tdwg.org/dwcem/,http://rs.tdwg.org/dwcem/values/
http://rs.tdwg.org/dwcdoe/,http://rs.tdwg.org/dwcdoe/values/
http://rs.tdwg.org/dwcpw/,http://rs.tdwg.org/dwcpw/values/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/mo/
http://rs.tdwg.org/acvariant/,http://rs.tdwg.org/acvariant/values/
http://rs.tdwg.org/format/,http://rs.tdwg.org/format/values/
http://rs.tdwg.org/acsubtype/,http://rs.tdwg.org/acsubtype/values/
http://rs.tdwg.org/chrono/,http://rs.tdwg.org/chrono/terms/
http://rs.tdwg.org/chrono/,http://rs.tdwg.org/chrono/iri/
http://rs.tdwg.org/acorient/,http://rs.tdwg.org/acorient/values/
http://rs.tdwg.org/acpart/,http://rs.tdwg.org/acpart/values/
http://rs.tdwg.org/eco/,http://rs.tdwg.org/eco/terms/
http://rs.tdwg.org/ecotcr/,http://rs.tdwg.org/ecotcr/values/
http://rs.tdwg.org/boolean/,http://rs.tdwg.org/boolean/values/
http://rs.tdwg.org/eco/,http://rs.tdwg.org/eco/iri/
http://rs.tdwg.org/ltc/,http://rs.tdwg.org/ltc/terms/
http://rs.tdwg.org/ltc/,http://rs.tdwg.org/ltc/abcd/
http://rs.tdwg.org/ltc/,http://rs.tdwg.org/ltc/chrono/
http://rs.tdwg.org/ltc/,http://rs.tdwg.org/ltc/dcterms/
http://rs.tdwg.org/ltc/,http://rs.tdwg.org/ltc/dwc/
http://rs.tdwg.org/ltc/,http://rs.tdwg.org/ltc/schema/
http://rs.tdwg.org/dwc/,http://rs.tdwg.org/dwc/ac/
http://rs.tdwg.org/accd/,http://rs.tdwg.org/accd/values/
http://rs.tdwg.org/tcs/,http://rs.tdwg.org/tcs/terms/
http://rs.tdwg.org/tcs/,http://rs.tdwg.org/tcs/dwc/
http://rs.tdwg.org/tcs/,http://rs.tdwg.org/tcs/dcterms/
