version,vocabulary
http://rs.tdwg.org/version/ac/2013-10-28,http://rs.tdwg.org/ac/
http://rs.tdwg.org/version/dwc/2008-11-19,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2009-01-18,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2009-01-21,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2009-01-23,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2009-04-24,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2009-04-29,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2009-05-18,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2009-07-06,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2009-08-24,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2009-09-11,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2009-09-17,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2009-09-21,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2009-12-07,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2011-10-16,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2013-03-28,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2013-05-25,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2014-10-23,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2014-12-23,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2015-03-27,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/ac/2020-01-27,http://rs.tdwg.org/ac/
http://rs.tdwg.org/version/dwc/2017-10-06,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2018-09-06,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2020-08-12,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2020-08-20,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/ac/2020-08-23,http://rs.tdwg.org/ac/
http://rs.tdwg.org/version/dwc/2020-10-13,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwcem/2020-10-13,http://rs.tdwg.org/dwcem/
http://rs.tdwg.org/version/dwcdoe/2020-10-13,http://rs.tdwg.org/dwcdoe/
http://rs.tdwg.org/version/dwcpw/2020-10-13,http://rs.tdwg.org/dwcpw/
http://rs.tdwg.org/version/ac/2020-10-13,http://rs.tdwg.org/ac/
http://rs.tdwg.org/version/acvariant/2020-10-13,http://rs.tdwg.org/acvariant/
http://rs.tdwg.org/version/format/2020-10-13,http://rs.tdwg.org/format/
http://rs.tdwg.org/version/acsubtype/2020-10-13,http://rs.tdwg.org/acsubtype/
http://rs.tdwg.org/version/dwc/2020-10-28,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwcpw/2020-10-28,http://rs.tdwg.org/dwcpw/
http://rs.tdwg.org/version/ac/2020-10-28,http://rs.tdwg.org/ac/
http://rs.tdwg.org/version/ac/2021-02-01,http://rs.tdwg.org/ac/
http://rs.tdwg.org/version/dwc/2021-03-29,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/chrono/2020-09-14,http://rs.tdwg.org/chrono/
http://rs.tdwg.org/version/chrono/2020-10-05,http://rs.tdwg.org/chrono/
http://rs.tdwg.org/version/chrono/2020-11-17,http://rs.tdwg.org/chrono/
http://rs.tdwg.org/version/chrono/2021-01-26,http://rs.tdwg.org/chrono/
http://rs.tdwg.org/version/chrono/2021-02-02,http://rs.tdwg.org/chrono/
http://rs.tdwg.org/version/chrono/2021-02-05,http://rs.tdwg.org/chrono/
http://rs.tdwg.org/version/chrono/2021-02-21,http://rs.tdwg.org/chrono/
http://rs.tdwg.org/version/dwc/2021-07-15,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwcdoe/2021-09-01,http://rs.tdwg.org/dwcdoe/
http://rs.tdwg.org/version/dwcem/2021-09-01,http://rs.tdwg.org/dwcem/
http://rs.tdwg.org/version/dwcpw/2021-09-01,http://rs.tdwg.org/dwcpw/
http://rs.tdwg.org/version/ac/2021-10-05,http://rs.tdwg.org/ac/
http://rs.tdwg.org/version/ac/2022-02-23,http://rs.tdwg.org/ac/
http://rs.tdwg.org/version/acsubtype/2022-02-23,http://rs.tdwg.org/acsubtype/
http://rs.tdwg.org/version/acorient/2023-04-26,http://rs.tdwg.org/acorient/
http://rs.tdwg.org/version/acpart/2023-04-26,http://rs.tdwg.org/acpart/
http://rs.tdwg.org/version/dwc/2023-06-28,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2023-07-07,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/ac/2023-09-05,http://rs.tdwg.org/ac/
http://rs.tdwg.org/version/dwc/2023-09-13,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/dwc/2023-09-18,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/eco/2024-02-28,http://rs.tdwg.org/eco/
http://rs.tdwg.org/version/ecotcr/2024-02-28,http://rs.tdwg.org/ecotcr/
http://rs.tdwg.org/version/boolean/2023-03-13,http://rs.tdwg.org/boolean/
http://rs.tdwg.org/version/eco/2024-03-26,http://rs.tdwg.org/eco/
http://rs.tdwg.org/version/ltc/2024-02-28,http://rs.tdwg.org/ltc/
http://rs.tdwg.org/version/dwc/2025-06-12,http://rs.tdwg.org/dwc/
http://rs.tdwg.org/version/chrono/2025-06-12,http://rs.tdwg.org/chrono/
http://rs.tdwg.org/version/eco/2025-06-12,http://rs.tdwg.org/eco/
http://rs.tdwg.org/version/dwcem/2025-06-12,http://rs.tdwg.org/dwcem/
http://rs.tdwg.org/version/dwcpw/2025-06-12,http://rs.tdwg.org/dwcpw/
http://rs.tdwg.org/version/chrono/2025-07-10,http://rs.tdwg.org/chrono/
http://rs.tdwg.org/version/dwc/2025-07-10,http://rs.tdwg.org/dwc/
