"identifier","context","text"
"CreateDate:label","Label for Original Date and Time http://rs.tdwg.org/dwc/terms/CreateDate",""
"CreateDate:rdfs_comment","Comment for Original Date and Time http://rs.tdwg.org/dwc/terms/CreateDate",""
"CreateDate:dcterms_description","Description for Original Date and Time http://rs.tdwg.org/dwc/terms/CreateDate",""
"CreateDate:skos_scopeNote","Usage for Original Date and Time http://rs.tdwg.org/dwc/terms/CreateDate",""
"MetadataDate:label","Label for Metadata Date http://rs.tdwg.org/dwc/terms/MetadataDate",""
"MetadataDate:rdfs_comment","Comment for Metadata Date http://rs.tdwg.org/dwc/terms/MetadataDate",""
"MetadataDate:dcterms_description","Description for Metadata Date http://rs.tdwg.org/dwc/terms/MetadataDate",""
"MetadataDate:skos_scopeNote","Usage for Metadata Date http://rs.tdwg.org/dwc/terms/MetadataDate",""
"Rating:label","Label for Rating http://rs.tdwg.org/dwc/terms/Rating",""
"Rating:rdfs_comment","Comment for Rating http://rs.tdwg.org/dwc/terms/Rating",""
"Rating:dcterms_description","Description for Rating http://rs.tdwg.org/dwc/terms/Rating",""
"Rating:skos_scopeNote","Usage for Rating http://rs.tdwg.org/dwc/terms/Rating",""
