"identifier","context","text"
"Owner:label","Label for Copyright Owner http://rs.tdwg.org/dwc/terms/Owner","Majitel autorských práv"
"Owner:rdfs_comment","Comment for Copyright Owner http://rs.tdwg.org/dwc/terms/Owner","Seznam zákonných vlastníků zdroje."
"Owner:dcterms_description","Description for Copyright Owner http://rs.tdwg.org/dwc/terms/Owner","Někteří poskytovatelé používají pro tento účel dc:publisher, ale je sporné, zda vydavatel je nutně také vlastníkem autorských práv. „Public Domain“ (veřejná doména) není vhodnou hodnotou, protože označuje něco, co není chráněno autorskými právy. S výjimkou zdrojů „Public Domain“ se důrazně doporučuje, aby bylo toto pole vyplněno."
"Owner:skos_scopeNote","Usage for Copyright Owner http://rs.tdwg.org/dwc/terms/Owner","Seznam jmen vlastníků autorských práv. Hodnota „Neznámý“ je přijatelná, ale „Veřejná doména“ nikoli. V takovém případě vynechte nebo nechte prázdné pole xmpRights:Owner a do prohlášení o autorských právech (dc:rights) uveďte „Veřejná doména“. Poznámka: Pokyny Audiovisual Core týkající se formátu hodnot jsou méně přísné než pokyny IPTC."
"UsageTerms:label","Label for License Terms http://rs.tdwg.org/dwc/terms/UsageTerms","Licenční podmínky"
"UsageTerms:rdfs_comment","Comment for License Terms http://rs.tdwg.org/dwc/terms/UsageTerms","Soubor textových pokynů o tom, jak lze zdroj legálně používat, v různých jazycích."
"UsageTerms:dcterms_description","Description for License Terms http://rs.tdwg.org/dwc/terms/UsageTerms","Příklad: „K dispozici pod licencí Creative Commons BY-SA 3.0“. To také popisuje komerční dostupnost položek. Nákup identifikačního nástroje nebo mediálního zdroje je v podstatě nákupem individuální licence. Příklady takových licenčních prohlášení: „K dispozici v knihkupectvích“ pro komerčně vydané CD a „Individuální licence k dispozici ke koupi“ pro obrázek ve vysokém rozlišení. Obecně tento termín určuje výchozí licenci pro dané médium. Licenční podmínky specifické pro varianty nebo reprezentace mediálního zdroje (např. různé rozlišení) jsou uvedeny v části Slovník přístupových bodů služeb"
"UsageTerms:skos_scopeNote","Usage for License Terms http://rs.tdwg.org/dwc/terms/UsageTerms","Prohlášení o licenci definující způsob použití zdrojů. Informace o sbírce se vztahují na všechny obsažené objekty, pokud objekt nemá jiné prohlášení. Pokud jsou různé varianty kvality (např. různé rozlišení obrázků) publikovány pod různými licencemi, termín AC „Prohlášení o výjimce z licence“ podporuje licence specifické pro danou variantu. Upozorňujeme, že střední nebo nízké rozlišení stejného obrázku může být k dispozici pod licencemi s otevřeným přístupem."
"WebStatement:label","Label for License URL http://rs.tdwg.org/dwc/terms/WebStatement","URL licence"
"WebStatement:rdfs_comment","Comment for License URL http://rs.tdwg.org/dwc/terms/WebStatement","Webová URL adresa s prohlášením o vlastnictví a právech k užívání tohoto zdroje."
"WebStatement:dcterms_description","Description for License URL http://rs.tdwg.org/dwc/terms/WebStatement","Hodnota tohoto pole může poskytovat úplnou definici podmínek použití. Pro Creative Commons je vhodnou hodnotou URL definující webové stránky licence. Příklad: http://creativecommons.org/licenses/by-nc-sa/3.0/us/"
"WebStatement:skos_scopeNote","Usage for License URL http://rs.tdwg.org/dwc/terms/WebStatement","URL adresa definující nebo podrobněji rozvádějící licenční prohlášení (např. webová stránka vysvětlující přesné podmínky použití).  Pokud jsou různé varianty kvality (např. různé rozlišení obrázků) publikovány pod různými licencemi, termín AC „Prohlášení o výjimce z licence“ podporuje licence specifické pro danou variantu."
